M Ifrns (unidentified)	Ifrns (unidentified)	http://vocab.getty.edu/ulan/500295901
M. Ifrns (unidentified)	Ifrns (unidentified)	http://vocab.getty.edu/ulan/500295901
Ifrns (unidentified)	Ifrns (unidentified)	http://vocab.getty.edu/ulan/500295901
Flavia Irvine	Irvine, Flavia	http://vocab.getty.edu/ulan/500098538
Idrac	Idrac, Jean Marie Antoine	http://vocab.getty.edu/ulan/500082100
M Idrac	Idrac, Jean Marie Antoine	http://vocab.getty.edu/ulan/500082100
J M A Idrac	Idrac, Jean Marie Antoine	http://vocab.getty.edu/ulan/500082100
M. Idrac	Idrac, Jean Marie Antoine	http://vocab.getty.edu/ulan/500082100
Eduardo Ibáñez Flórez	Ibáñez Flórez, Eduardo	http://vocab.getty.edu/ulan/500037369
E. Ibáñez Flórez	Ibáñez Flórez, Eduardo	http://vocab.getty.edu/ulan/500037369
M. Ibáñez Flórez	Ibáñez Flórez, Eduardo	http://vocab.getty.edu/ulan/500037369
Ibáñez Flórez	Ibáñez Flórez, Eduardo	http://vocab.getty.edu/ulan/500037369
M. Eduardo Ibáñez Flórez	Ibáñez Flórez, Eduardo	http://vocab.getty.edu/ulan/500037369
M Eduardo Ibáñez Flórez	Ibáñez Flórez, Eduardo	http://vocab.getty.edu/ulan/500037369
E Ibáñez Flórez	Ibáñez Flórez, Eduardo	http://vocab.getty.edu/ulan/500037369
M Ibáñez Flórez	Ibáñez Flórez, Eduardo	http://vocab.getty.edu/ulan/500037369
Flórez, Eduardo Ibáñez	Ibáñez Flórez, Eduardo	http://vocab.getty.edu/ulan/500037369
Jay Isenberg	Isenberg, Jay	http://vocab.getty.edu/ulan/500226775
M Isenberg	Isenberg, Jay	http://vocab.getty.edu/ulan/500226775
M Jay Isenberg	Isenberg, Jay	http://vocab.getty.edu/ulan/500226775
Isenberg	Isenberg, Jay	http://vocab.getty.edu/ulan/500226775
M. Isenberg	Isenberg, Jay	http://vocab.getty.edu/ulan/500226775
M. Jay Isenberg	Isenberg, Jay	http://vocab.getty.edu/ulan/500226775
J. Isenberg	Isenberg, Jay	http://vocab.getty.edu/ulan/500226775
J Isenberg	Isenberg, Jay	http://vocab.getty.edu/ulan/500226775
Drago Ibler	Ibler, Drago	http://vocab.getty.edu/ulan/500249725	http://id.loc.gov/authorities/names/n85380698
M. Drago Ibler	Ibler, Drago	http://vocab.getty.edu/ulan/500249725	http://id.loc.gov/authorities/names/n85380698
D Ibler	Ibler, Drago	http://vocab.getty.edu/ulan/500249725	http://id.loc.gov/authorities/names/n85380698
M Ibler	Ibler, Drago	http://vocab.getty.edu/ulan/500249725	http://id.loc.gov/authorities/names/n85380698
M Drago Ibler	Ibler, Drago	http://vocab.getty.edu/ulan/500249725	http://id.loc.gov/authorities/names/n85380698
D. Ibler	Ibler, Drago	http://vocab.getty.edu/ulan/500249725	http://id.loc.gov/authorities/names/n85380698
M. Ibler	Ibler, Drago	http://vocab.getty.edu/ulan/500249725	http://id.loc.gov/authorities/names/n85380698
Ibler	Ibler, Drago	http://vocab.getty.edu/ulan/500249725	http://id.loc.gov/authorities/names/n85380698
Kamel Isselmane	Isselmane, Kamel	http://vocab.getty.edu/ulan/500261846
M Isselmane	Isselmane, Kamel	http://vocab.getty.edu/ulan/500261846
M. Kamel Isselmane	Isselmane, Kamel	http://vocab.getty.edu/ulan/500261846
Isselmane	Isselmane, Kamel	http://vocab.getty.edu/ulan/500261846
K Isselmane	Isselmane, Kamel	http://vocab.getty.edu/ulan/500261846
M Kamel Isselmane	Isselmane, Kamel	http://vocab.getty.edu/ulan/500261846
K. Isselmane	Isselmane, Kamel	http://vocab.getty.edu/ulan/500261846
M. Isselmane	Isselmane, Kamel	http://vocab.getty.edu/ulan/500261846
Aurelian Ilie	Ilie, Aurelian	http://vocab.getty.edu/ulan/500222528
M. Aurelian Ilie	Ilie, Aurelian	http://vocab.getty.edu/ulan/500222528
A. Ilie	Ilie, Aurelian	http://vocab.getty.edu/ulan/500222528
M Ilie	Ilie, Aurelian	http://vocab.getty.edu/ulan/500222528
Ilie	Ilie, Aurelian	http://vocab.getty.edu/ulan/500222528
M Aurelian Ilie	Ilie, Aurelian	http://vocab.getty.edu/ulan/500222528
A Ilie	Ilie, Aurelian	http://vocab.getty.edu/ulan/500222528
M. Ilie	Ilie, Aurelian	http://vocab.getty.edu/ulan/500222528
Flávio Império	Império, Flávio	http://vocab.getty.edu/ulan/500222721
M Flávio Império	Império, Flávio	http://vocab.getty.edu/ulan/500222721
M. Império	Império, Flávio	http://vocab.getty.edu/ulan/500222721
M. Flávio Império	Império, Flávio	http://vocab.getty.edu/ulan/500222721
Império	Império, Flávio	http://vocab.getty.edu/ulan/500222721
F. Império	Império, Flávio	http://vocab.getty.edu/ulan/500222721
M Império	Império, Flávio	http://vocab.getty.edu/ulan/500222721
F Império	Império, Flávio	http://vocab.getty.edu/ulan/500222721
David Ireland	Ireland, David	http://vocab.getty.edu/ulan/500252794
D Ireland	Ireland, David	http://vocab.getty.edu/ulan/500252794
M. David Ireland	Ireland, David	http://vocab.getty.edu/ulan/500252794
Ireland	Ireland, David	http://vocab.getty.edu/ulan/500252794
M. Ireland	Ireland, David	http://vocab.getty.edu/ulan/500252794
M David Ireland	Ireland, David	http://vocab.getty.edu/ulan/500252794
M Ireland	Ireland, David	http://vocab.getty.edu/ulan/500252794
D. Ireland	Ireland, David	http://vocab.getty.edu/ulan/500252794
M. Isigonos	Isigonos	http://vocab.getty.edu/ulan/500123651
M Isigonos	Isigonos	http://vocab.getty.edu/ulan/500123651
Isigonos	Isigonos	http://vocab.getty.edu/ulan/500123651
Isataj Isabayev	Isabayev, Isataj	http://vocab.getty.edu/ulan/500121586
M. Isabayev	Isabayev, Isataj	http://vocab.getty.edu/ulan/500121586
I Isabayev	Isabayev, Isataj	http://vocab.getty.edu/ulan/500121586
M. Isataj Isabayev	Isabayev, Isataj	http://vocab.getty.edu/ulan/500121586
M Isabayev	Isabayev, Isataj	http://vocab.getty.edu/ulan/500121586
Isabayev	Isabayev, Isataj	http://vocab.getty.edu/ulan/500121586
I. Isabayev	Isabayev, Isataj	http://vocab.getty.edu/ulan/500121586
M Isataj Isabayev	Isabayev, Isataj	http://vocab.getty.edu/ulan/500121586
Leslie Chamberlain Irwin	Irwin, Leslie Chamberlain	http://vocab.getty.edu/ulan/500108517
L C Irwin	Irwin, Leslie Chamberlain	http://vocab.getty.edu/ulan/500108517
Irwin	Irwin, Leslie Chamberlain	http://vocab.getty.edu/ulan/500108517
M Irwin	Irwin, Leslie Chamberlain	http://vocab.getty.edu/ulan/500108517
M. Leslie Chamberlain Irwin	Irwin, Leslie Chamberlain	http://vocab.getty.edu/ulan/500108517
M. Irwin	Irwin, Leslie Chamberlain	http://vocab.getty.edu/ulan/500108517
L. C. Irwin	Irwin, Leslie Chamberlain	http://vocab.getty.edu/ulan/500108517
M Leslie Chamberlain Irwin	Irwin, Leslie Chamberlain	http://vocab.getty.edu/ulan/500108517
Irwin, Lewis	Irwin, Leslie Chamberlain	http://vocab.getty.edu/ulan/500108517
Lewis Irwin	Irwin, Leslie Chamberlain	http://vocab.getty.edu/ulan/500108517
Irwin, Lieutenant	Irwin, Leslie Chamberlain	http://vocab.getty.edu/ulan/500108517
Thomaz Ianelli	Ianelli, Thomaz	http://vocab.getty.edu/ulan/500344798	http://id.loc.gov/authorities/names/nr99030891
M Ianelli	Ianelli, Thomaz	http://vocab.getty.edu/ulan/500344798	http://id.loc.gov/authorities/names/nr99030891
M. Ianelli	Ianelli, Thomaz	http://vocab.getty.edu/ulan/500344798	http://id.loc.gov/authorities/names/nr99030891
M Thomaz Ianelli	Ianelli, Thomaz	http://vocab.getty.edu/ulan/500344798	http://id.loc.gov/authorities/names/nr99030891
T. Ianelli	Ianelli, Thomaz	http://vocab.getty.edu/ulan/500344798	http://id.loc.gov/authorities/names/nr99030891
M. Thomaz Ianelli	Ianelli, Thomaz	http://vocab.getty.edu/ulan/500344798	http://id.loc.gov/authorities/names/nr99030891
T Ianelli	Ianelli, Thomaz	http://vocab.getty.edu/ulan/500344798	http://id.loc.gov/authorities/names/nr99030891
Ianelli	Ianelli, Thomaz	http://vocab.getty.edu/ulan/500344798	http://id.loc.gov/authorities/names/nr99030891
Ianelli, Thomás	Ianelli, Thomaz	http://vocab.getty.edu/ulan/500344798	http://id.loc.gov/authorities/names/nr99030891
Antti Iskala	Iskala, Antti	http://vocab.getty.edu/ulan/500262043
Iskala	Iskala, Antti	http://vocab.getty.edu/ulan/500262043
A. Iskala	Iskala, Antti	http://vocab.getty.edu/ulan/500262043
A Iskala	Iskala, Antti	http://vocab.getty.edu/ulan/500262043
M Iskala	Iskala, Antti	http://vocab.getty.edu/ulan/500262043
M. Antti Iskala	Iskala, Antti	http://vocab.getty.edu/ulan/500262043
M. Iskala	Iskala, Antti	http://vocab.getty.edu/ulan/500262043
M Antti Iskala	Iskala, Antti	http://vocab.getty.edu/ulan/500262043
Alberto Izzo	Izzo, Alberto	http://vocab.getty.edu/ulan/500096640
A. Izzo	Izzo, Alberto	http://vocab.getty.edu/ulan/500096640
Izzo	Izzo, Alberto	http://vocab.getty.edu/ulan/500096640
M. Alberto Izzo	Izzo, Alberto	http://vocab.getty.edu/ulan/500096640
M Izzo	Izzo, Alberto	http://vocab.getty.edu/ulan/500096640
M. Izzo	Izzo, Alberto	http://vocab.getty.edu/ulan/500096640
A Izzo	Izzo, Alberto	http://vocab.getty.edu/ulan/500096640
M Alberto Izzo	Izzo, Alberto	http://vocab.getty.edu/ulan/500096640
Eduard Ihlée	Ihlée, Eduard	http://vocab.getty.edu/ulan/500055449
M. Ihlée	Ihlée, Eduard	http://vocab.getty.edu/ulan/500055449
E Ihlée	Ihlée, Eduard	http://vocab.getty.edu/ulan/500055449
M Ihlée	Ihlée, Eduard	http://vocab.getty.edu/ulan/500055449
E. Ihlée	Ihlée, Eduard	http://vocab.getty.edu/ulan/500055449
M Eduard Ihlée	Ihlée, Eduard	http://vocab.getty.edu/ulan/500055449
Ihlée	Ihlée, Eduard	http://vocab.getty.edu/ulan/500055449
M. Eduard Ihlée	Ihlée, Eduard	http://vocab.getty.edu/ulan/500055449
Ihlée, Johann Eduard	Ihlée, Eduard	http://vocab.getty.edu/ulan/500055449
Ihlee, Eduard	Ihlée, Eduard	http://vocab.getty.edu/ulan/500055449
Eduard Ihlee	Ihlée, Eduard	http://vocab.getty.edu/ulan/500055449
A. Ivanova	Ivanova, A.	http://vocab.getty.edu/ulan/500108935
A Ivanova	Ivanova, A.	http://vocab.getty.edu/ulan/500108935
A. Ivanova	Ivanova, A.	http://vocab.getty.edu/ulan/500108935
Mme A. Ivanova	Ivanova, A.	http://vocab.getty.edu/ulan/500108935
Mme. Ivanova	Ivanova, A.	http://vocab.getty.edu/ulan/500108935
Mme. A. Ivanova	Ivanova, A.	http://vocab.getty.edu/ulan/500108935
Mme Ivanova	Ivanova, A.	http://vocab.getty.edu/ulan/500108935
Ivanova	Ivanova, A.	http://vocab.getty.edu/ulan/500108935
Michael Ilse	Ilse, Michael	http://vocab.getty.edu/ulan/500097074
Ilse	Ilse, Michael	http://vocab.getty.edu/ulan/500097074
M Michael Ilse	Ilse, Michael	http://vocab.getty.edu/ulan/500097074
M. Michael Ilse	Ilse, Michael	http://vocab.getty.edu/ulan/500097074
M. Ilse	Ilse, Michael	http://vocab.getty.edu/ulan/500097074
M Ilse	Ilse, Michael	http://vocab.getty.edu/ulan/500097074
Ieardens (unidentified)	Ieardens (unidentified)	http://vocab.getty.edu/ulan/500294777
M Ieardens (unidentified)	Ieardens (unidentified)	http://vocab.getty.edu/ulan/500294777
M. Ieardens (unidentified)	Ieardens (unidentified)	http://vocab.getty.edu/ulan/500294777
Hajime Igari	Igari, Hajime	http://vocab.getty.edu/ulan/500222340
M Igari	Igari, Hajime	http://vocab.getty.edu/ulan/500222340
H. Igari	Igari, Hajime	http://vocab.getty.edu/ulan/500222340
M. Igari	Igari, Hajime	http://vocab.getty.edu/ulan/500222340
M. Hajime Igari	Igari, Hajime	http://vocab.getty.edu/ulan/500222340
Igari	Igari, Hajime	http://vocab.getty.edu/ulan/500222340
M Hajime Igari	Igari, Hajime	http://vocab.getty.edu/ulan/500222340
H Igari	Igari, Hajime	http://vocab.getty.edu/ulan/500222340
David N. Ingles	Ingles, David N.	http://vocab.getty.edu/ulan/500004231
M Ingles	Ingles, David N.	http://vocab.getty.edu/ulan/500004231
M. Ingles	Ingles, David N.	http://vocab.getty.edu/ulan/500004231
D. N. Ingles	Ingles, David N.	http://vocab.getty.edu/ulan/500004231
D N Ingles	Ingles, David N.	http://vocab.getty.edu/ulan/500004231
M. David N. Ingles	Ingles, David N.	http://vocab.getty.edu/ulan/500004231
M David N. Ingles	Ingles, David N.	http://vocab.getty.edu/ulan/500004231
Ingles	Ingles, David N.	http://vocab.getty.edu/ulan/500004231
Yoshikuni Iida	Iida, Yoshikuni	http://vocab.getty.edu/ulan/500122730	http://id.loc.gov/authorities/names/n81114360
Y. Iida	Iida, Yoshikuni	http://vocab.getty.edu/ulan/500122730	http://id.loc.gov/authorities/names/n81114360
Iida	Iida, Yoshikuni	http://vocab.getty.edu/ulan/500122730	http://id.loc.gov/authorities/names/n81114360
M Yoshikuni Iida	Iida, Yoshikuni	http://vocab.getty.edu/ulan/500122730	http://id.loc.gov/authorities/names/n81114360
Y Iida	Iida, Yoshikuni	http://vocab.getty.edu/ulan/500122730	http://id.loc.gov/authorities/names/n81114360
M. Yoshikuni Iida	Iida, Yoshikuni	http://vocab.getty.edu/ulan/500122730	http://id.loc.gov/authorities/names/n81114360
M. Iida	Iida, Yoshikuni	http://vocab.getty.edu/ulan/500122730	http://id.loc.gov/authorities/names/n81114360
M Iida	Iida, Yoshikuni	http://vocab.getty.edu/ulan/500122730	http://id.loc.gov/authorities/names/n81114360
Carolina Iacob	Iacob, Carolina	http://vocab.getty.edu/ulan/500099821
Mme Carolina Iacob	Iacob, Carolina	http://vocab.getty.edu/ulan/500099821
Iacob	Iacob, Carolina	http://vocab.getty.edu/ulan/500099821
C. Iacob	Iacob, Carolina	http://vocab.getty.edu/ulan/500099821
C Iacob	Iacob, Carolina	http://vocab.getty.edu/ulan/500099821
Mme. Iacob	Iacob, Carolina	http://vocab.getty.edu/ulan/500099821
Mme. Carolina Iacob	Iacob, Carolina	http://vocab.getty.edu/ulan/500099821
Mme Iacob	Iacob, Carolina	http://vocab.getty.edu/ulan/500099821
Caroline Jacob	Iacob, Carolina	http://vocab.getty.edu/ulan/500099821
M. Ifmanns (unidentified)	Ifmanns (unidentified)	http://vocab.getty.edu/ulan/500294772
Ifmanns (unidentified)	Ifmanns (unidentified)	http://vocab.getty.edu/ulan/500294772
M Ifmanns (unidentified)	Ifmanns (unidentified)	http://vocab.getty.edu/ulan/500294772
Stéphanie Ifrah	Ifrah, Stéphanie	http://vocab.getty.edu/ulan/500280925
Mme Stéphanie Ifrah	Ifrah, Stéphanie	http://vocab.getty.edu/ulan/500280925
S Ifrah	Ifrah, Stéphanie	http://vocab.getty.edu/ulan/500280925
S. Ifrah	Ifrah, Stéphanie	http://vocab.getty.edu/ulan/500280925
Mme. Stéphanie Ifrah	Ifrah, Stéphanie	http://vocab.getty.edu/ulan/500280925
Mme Ifrah	Ifrah, Stéphanie	http://vocab.getty.edu/ulan/500280925
Mme. Ifrah	Ifrah, Stéphanie	http://vocab.getty.edu/ulan/500280925
Ifrah	Ifrah, Stéphanie	http://vocab.getty.edu/ulan/500280925
Claudia Illanes	Illanes, Claudia	http://vocab.getty.edu/ulan/500261533
C Illanes	Illanes, Claudia	http://vocab.getty.edu/ulan/500261533
Illanes	Illanes, Claudia	http://vocab.getty.edu/ulan/500261533
Mme. Claudia Illanes	Illanes, Claudia	http://vocab.getty.edu/ulan/500261533
C. Illanes	Illanes, Claudia	http://vocab.getty.edu/ulan/500261533
Mme Claudia Illanes	Illanes, Claudia	http://vocab.getty.edu/ulan/500261533
Mme Illanes	Illanes, Claudia	http://vocab.getty.edu/ulan/500261533
Mme. Illanes	Illanes, Claudia	http://vocab.getty.edu/ulan/500261533
Harriet Morrison Irwin	Irwin, Harriet Morrison	http://vocab.getty.edu/ulan/500072039
Irwin	Irwin, Harriet Morrison	http://vocab.getty.edu/ulan/500072039
Mme Harriet Morrison Irwin	Irwin, Harriet Morrison	http://vocab.getty.edu/ulan/500072039
H M Irwin	Irwin, Harriet Morrison	http://vocab.getty.edu/ulan/500072039
Mme. Harriet Morrison Irwin	Irwin, Harriet Morrison	http://vocab.getty.edu/ulan/500072039
Mme Irwin	Irwin, Harriet Morrison	http://vocab.getty.edu/ulan/500072039
Mme. Irwin	Irwin, Harriet Morrison	http://vocab.getty.edu/ulan/500072039
H. M. Irwin	Irwin, Harriet Morrison	http://vocab.getty.edu/ulan/500072039
Henri Frédéric Iselin	Iselin, Henri Frédéric	http://vocab.getty.edu/ulan/500077568
M. Iselin	Iselin, Henri Frédéric	http://vocab.getty.edu/ulan/500077568
M Henri Frédéric Iselin	Iselin, Henri Frédéric	http://vocab.getty.edu/ulan/500077568
H F Iselin	Iselin, Henri Frédéric	http://vocab.getty.edu/ulan/500077568
M. Henri Frédéric Iselin	Iselin, Henri Frédéric	http://vocab.getty.edu/ulan/500077568
H. F. Iselin	Iselin, Henri Frédéric	http://vocab.getty.edu/ulan/500077568
Iselin	Iselin, Henri Frédéric	http://vocab.getty.edu/ulan/500077568
M Iselin	Iselin, Henri Frédéric	http://vocab.getty.edu/ulan/500077568
Georgios Iakovidis	Iakovidis, Georgios	http://vocab.getty.edu/ulan/500123628
M. Georgios Iakovidis	Iakovidis, Georgios	http://vocab.getty.edu/ulan/500123628
M Iakovidis	Iakovidis, Georgios	http://vocab.getty.edu/ulan/500123628
Iakovidis	Iakovidis, Georgios	http://vocab.getty.edu/ulan/500123628
M Georgios Iakovidis	Iakovidis, Georgios	http://vocab.getty.edu/ulan/500123628
G Iakovidis	Iakovidis, Georgios	http://vocab.getty.edu/ulan/500123628
M. Iakovidis	Iakovidis, Georgios	http://vocab.getty.edu/ulan/500123628
G. Iakovidis	Iakovidis, Georgios	http://vocab.getty.edu/ulan/500123628
Iakumidis, Georgius	Iakovidis, Georgios	http://vocab.getty.edu/ulan/500123628
Jakobides, Georg	Iakovidis, Georgios	http://vocab.getty.edu/ulan/500123628
jakobides, gg.	Iakovidis, Georgios	http://vocab.getty.edu/ulan/500123628
Narcís Inglada	Inglada, Narcís	http://vocab.getty.edu/ulan/500039355
Inglada	Inglada, Narcís	http://vocab.getty.edu/ulan/500039355
N. Inglada	Inglada, Narcís	http://vocab.getty.edu/ulan/500039355
M. Narcís Inglada	Inglada, Narcís	http://vocab.getty.edu/ulan/500039355
N Inglada	Inglada, Narcís	http://vocab.getty.edu/ulan/500039355
M Inglada	Inglada, Narcís	http://vocab.getty.edu/ulan/500039355
M Narcís Inglada	Inglada, Narcís	http://vocab.getty.edu/ulan/500039355
M. Inglada	Inglada, Narcís	http://vocab.getty.edu/ulan/500039355
Inglada, Narciso	Inglada, Narcís	http://vocab.getty.edu/ulan/500039355
Mateo Inurria	Inurria, Mateo	http://vocab.getty.edu/ulan/500039356	http://id.loc.gov/authorities/names/n98021266
M Inurria	Inurria, Mateo	http://vocab.getty.edu/ulan/500039356	http://id.loc.gov/authorities/names/n98021266
M Mateo Inurria	Inurria, Mateo	http://vocab.getty.edu/ulan/500039356	http://id.loc.gov/authorities/names/n98021266
Inurria	Inurria, Mateo	http://vocab.getty.edu/ulan/500039356	http://id.loc.gov/authorities/names/n98021266
M. Mateo Inurria	Inurria, Mateo	http://vocab.getty.edu/ulan/500039356	http://id.loc.gov/authorities/names/n98021266
M. Inurria	Inurria, Mateo	http://vocab.getty.edu/ulan/500039356	http://id.loc.gov/authorities/names/n98021266
Inurria Lainosa, Mateo	Inurria, Mateo	http://vocab.getty.edu/ulan/500039356	http://id.loc.gov/authorities/names/n98021266
Inurria Larmosa, Mateo	Inurria, Mateo	http://vocab.getty.edu/ulan/500039356	http://id.loc.gov/authorities/names/n98021266
Inurria y Lainosa, Mateo	Inurria, Mateo	http://vocab.getty.edu/ulan/500039356	http://id.loc.gov/authorities/names/n98021266
Lainosa, Mateo Inurria	Inurria, Mateo	http://vocab.getty.edu/ulan/500039356	http://id.loc.gov/authorities/names/n98021266
Ynurria, Mateo	Inurria, Mateo	http://vocab.getty.edu/ulan/500039356	http://id.loc.gov/authorities/names/n98021266
Inurria, Matteo	Inurria, Mateo	http://vocab.getty.edu/ulan/500039356	http://id.loc.gov/authorities/names/n98021266
Matteo Inurria	Inurria, Mateo	http://vocab.getty.edu/ulan/500039356	http://id.loc.gov/authorities/names/n98021266
Oleg Ivanov	Ivanov, Oleg	http://vocab.getty.edu/ulan/500073556
M. Oleg Ivanov	Ivanov, Oleg	http://vocab.getty.edu/ulan/500073556
O. Ivanov	Ivanov, Oleg	http://vocab.getty.edu/ulan/500073556
M Ivanov	Ivanov, Oleg	http://vocab.getty.edu/ulan/500073556
M Oleg Ivanov	Ivanov, Oleg	http://vocab.getty.edu/ulan/500073556
Ivanov	Ivanov, Oleg	http://vocab.getty.edu/ulan/500073556
O Ivanov	Ivanov, Oleg	http://vocab.getty.edu/ulan/500073556
M. Ivanov	Ivanov, Oleg	http://vocab.getty.edu/ulan/500073556
Johann Jakob Irminger	Irminger, Johann Jakob	http://vocab.getty.edu/ulan/500334754
Irminger	Irminger, Johann Jakob	http://vocab.getty.edu/ulan/500334754
J. J. Irminger	Irminger, Johann Jakob	http://vocab.getty.edu/ulan/500334754
M. Irminger	Irminger, Johann Jakob	http://vocab.getty.edu/ulan/500334754
M. Johann Jakob Irminger	Irminger, Johann Jakob	http://vocab.getty.edu/ulan/500334754
M Irminger	Irminger, Johann Jakob	http://vocab.getty.edu/ulan/500334754
M Johann Jakob Irminger	Irminger, Johann Jakob	http://vocab.getty.edu/ulan/500334754
J J Irminger	Irminger, Johann Jakob	http://vocab.getty.edu/ulan/500334754
Irminger, Johan Jakob	Irminger, Johann Jakob	http://vocab.getty.edu/ulan/500334754
Johan Jakob Irminger	Irminger, Johann Jakob	http://vocab.getty.edu/ulan/500334754
Kosho Ito	Ito, Kosho	http://vocab.getty.edu/ulan/500122732	http://id.loc.gov/authorities/names/nr94007069
M Ito	Ito, Kosho	http://vocab.getty.edu/ulan/500122732	http://id.loc.gov/authorities/names/nr94007069
M. Ito	Ito, Kosho	http://vocab.getty.edu/ulan/500122732	http://id.loc.gov/authorities/names/nr94007069
K. Ito	Ito, Kosho	http://vocab.getty.edu/ulan/500122732	http://id.loc.gov/authorities/names/nr94007069
K Ito	Ito, Kosho	http://vocab.getty.edu/ulan/500122732	http://id.loc.gov/authorities/names/nr94007069
M Kosho Ito	Ito, Kosho	http://vocab.getty.edu/ulan/500122732	http://id.loc.gov/authorities/names/nr94007069
M. Kosho Ito	Ito, Kosho	http://vocab.getty.edu/ulan/500122732	http://id.loc.gov/authorities/names/nr94007069
Ito	Ito, Kosho	http://vocab.getty.edu/ulan/500122732	http://id.loc.gov/authorities/names/nr94007069
Mary H. Iredell	Iredell, Mary H.	http://vocab.getty.edu/ulan/500034290	http://id.loc.gov/authorities/names/nr94026390
Mme Mary H. Iredell	Iredell, Mary H.	http://vocab.getty.edu/ulan/500034290	http://id.loc.gov/authorities/names/nr94026390
Mme. Mary H. Iredell	Iredell, Mary H.	http://vocab.getty.edu/ulan/500034290	http://id.loc.gov/authorities/names/nr94026390
Mme. Iredell	Iredell, Mary H.	http://vocab.getty.edu/ulan/500034290	http://id.loc.gov/authorities/names/nr94026390
Mme Iredell	Iredell, Mary H.	http://vocab.getty.edu/ulan/500034290	http://id.loc.gov/authorities/names/nr94026390
M. H. Iredell	Iredell, Mary H.	http://vocab.getty.edu/ulan/500034290	http://id.loc.gov/authorities/names/nr94026390
Iredell	Iredell, Mary H.	http://vocab.getty.edu/ulan/500034290	http://id.loc.gov/authorities/names/nr94026390
M H Iredell	Iredell, Mary H.	http://vocab.getty.edu/ulan/500034290	http://id.loc.gov/authorities/names/nr94026390
Imamura, Shikō	Imamura Shikō	http://vocab.getty.edu/ulan/500122627	http://id.loc.gov/authorities/names/n82086382
Imamura Shikō	Imamura Shikō	http://vocab.getty.edu/ulan/500122627	http://id.loc.gov/authorities/names/n82086382
M. Imamura Shikō	Imamura Shikō	http://vocab.getty.edu/ulan/500122627	http://id.loc.gov/authorities/names/n82086382
M Imamura Shikō	Imamura Shikō	http://vocab.getty.edu/ulan/500122627	http://id.loc.gov/authorities/names/n82086382
Shikō Imamura	Imamura Shikō	http://vocab.getty.edu/ulan/500122627	http://id.loc.gov/authorities/names/n82086382
Jusaburō	Imamura Shikō	http://vocab.getty.edu/ulan/500122627	http://id.loc.gov/authorities/names/n82086382
Kazumichi Iimura	Iimura, Kazumichi	http://vocab.getty.edu/ulan/500232002
M Kazumichi Iimura	Iimura, Kazumichi	http://vocab.getty.edu/ulan/500232002
M. Iimura	Iimura, Kazumichi	http://vocab.getty.edu/ulan/500232002
K. Iimura	Iimura, Kazumichi	http://vocab.getty.edu/ulan/500232002
M. Kazumichi Iimura	Iimura, Kazumichi	http://vocab.getty.edu/ulan/500232002
M Iimura	Iimura, Kazumichi	http://vocab.getty.edu/ulan/500232002
Iimura	Iimura, Kazumichi	http://vocab.getty.edu/ulan/500232002
K Iimura	Iimura, Kazumichi	http://vocab.getty.edu/ulan/500232002
Bernabé Imberto	Imberto, Bernabé	http://vocab.getty.edu/ulan/500039354
M Imberto	Imberto, Bernabé	http://vocab.getty.edu/ulan/500039354
M Bernabé Imberto	Imberto, Bernabé	http://vocab.getty.edu/ulan/500039354
M. Bernabé Imberto	Imberto, Bernabé	http://vocab.getty.edu/ulan/500039354
Imberto	Imberto, Bernabé	http://vocab.getty.edu/ulan/500039354
B. Imberto	Imberto, Bernabé	http://vocab.getty.edu/ulan/500039354
B Imberto	Imberto, Bernabé	http://vocab.getty.edu/ulan/500039354
M. Imberto	Imberto, Bernabé	http://vocab.getty.edu/ulan/500039354
Jean-Jérôme Imbault	Imbault, Jean Jérôme	http://vocab.getty.edu/ulan/500354426	http://id.loc.gov/authorities/names/n82032183
M. Jean Jérôme Imbault	Imbault, Jean Jérôme	http://vocab.getty.edu/ulan/500354426	http://id.loc.gov/authorities/names/n82032183
J J Imbault	Imbault, Jean Jérôme	http://vocab.getty.edu/ulan/500354426	http://id.loc.gov/authorities/names/n82032183
Jean Jérôme Imbault	Imbault, Jean Jérôme	http://vocab.getty.edu/ulan/500354426	http://id.loc.gov/authorities/names/n82032183
M Imbault	Imbault, Jean Jérôme	http://vocab.getty.edu/ulan/500354426	http://id.loc.gov/authorities/names/n82032183
Imbault	Imbault, Jean Jérôme	http://vocab.getty.edu/ulan/500354426	http://id.loc.gov/authorities/names/n82032183
M Jean Jérôme Imbault	Imbault, Jean Jérôme	http://vocab.getty.edu/ulan/500354426	http://id.loc.gov/authorities/names/n82032183
J. J. Imbault	Imbault, Jean Jérôme	http://vocab.getty.edu/ulan/500354426	http://id.loc.gov/authorities/names/n82032183
M. Imbault	Imbault, Jean Jérôme	http://vocab.getty.edu/ulan/500354426	http://id.loc.gov/authorities/names/n82032183
Itō Shinsui	Itō, Shinsui	http://vocab.getty.edu/ulan/500123222	http://id.loc.gov/authorities/names/n81077190
Shinsui Itō	Itō, Shinsui	http://vocab.getty.edu/ulan/500123222	http://id.loc.gov/authorities/names/n81077190
S Itō	Itō, Shinsui	http://vocab.getty.edu/ulan/500123222	http://id.loc.gov/authorities/names/n81077190
M. Itō	Itō, Shinsui	http://vocab.getty.edu/ulan/500123222	http://id.loc.gov/authorities/names/n81077190
