V Xenou	Xenou, Vana (1949--)	http://data.bnf.fr/ark:/12148/cb12523542r#foaf:Person	http://www.idref.fr/034483543
Mme Xiang	Xiang, Yun hua (1967--)	http://data.bnf.fr/ark:/12148/cb165678360#foaf:Person
Yun hua Xiang	Xiang, Yun hua (1967--)	http://data.bnf.fr/ark:/12148/cb165678360#foaf:Person
Y. Xiang	Xiang, Yun hua (1967--)	http://data.bnf.fr/ark:/12148/cb165678360#foaf:Person
Mme. Xiang	Xiang, Yun hua (1967--)	http://data.bnf.fr/ark:/12148/cb165678360#foaf:Person
Mme Yun hua Xiang	Xiang, Yun hua (1967--)	http://data.bnf.fr/ark:/12148/cb165678360#foaf:Person
Mme. Yun hua Xiang	Xiang, Yun hua (1967--)	http://data.bnf.fr/ark:/12148/cb165678360#foaf:Person
蕴华 项	Xiang, Yun hua (1967--)	http://data.bnf.fr/ark:/12148/cb165678360#foaf:Person
Rodrigo Domingo Xinic Bop	Xinic Bop, Rodrigo Domingo (---)	http://data.bnf.fr/ark:/12148/cb14454725p#foaf:Person
M Xinic Bop	Xinic Bop, Rodrigo Domingo (---)	http://data.bnf.fr/ark:/12148/cb14454725p#foaf:Person
M. Xinic Bop	Xinic Bop, Rodrigo Domingo (---)	http://data.bnf.fr/ark:/12148/cb14454725p#foaf:Person
Xinic Bop	Xinic Bop, Rodrigo Domingo (---)	http://data.bnf.fr/ark:/12148/cb14454725p#foaf:Person
M. Rodrigo Domingo Xinic Bop	Xinic Bop, Rodrigo Domingo (---)	http://data.bnf.fr/ark:/12148/cb14454725p#foaf:Person
R. D. Xinic Bop	Xinic Bop, Rodrigo Domingo (---)	http://data.bnf.fr/ark:/12148/cb14454725p#foaf:Person
M Rodrigo Domingo Xinic Bop	Xinic Bop, Rodrigo Domingo (---)	http://data.bnf.fr/ark:/12148/cb14454725p#foaf:Person
R D Xinic Bop	Xinic Bop, Rodrigo Domingo (---)	http://data.bnf.fr/ark:/12148/cb14454725p#foaf:Person
Zhixing Xiao	Xiao, Zhi Xing (---)	http://data.bnf.fr/ark:/12148/cb15896408d#foaf:Person	http://www.idref.fr/136098797
M Xiao	Xiao, Zhi Xing (---)	http://data.bnf.fr/ark:/12148/cb15896408d#foaf:Person	http://www.idref.fr/136098797
Z X Xiao	Xiao, Zhi Xing (---)	http://data.bnf.fr/ark:/12148/cb15896408d#foaf:Person	http://www.idref.fr/136098797
Xiao	Xiao, Zhi Xing (---)	http://data.bnf.fr/ark:/12148/cb15896408d#foaf:Person	http://www.idref.fr/136098797
Zhi Xing Xiao	Xiao, Zhi Xing (---)	http://data.bnf.fr/ark:/12148/cb15896408d#foaf:Person	http://www.idref.fr/136098797
Z. X. Xiao	Xiao, Zhi Xing (---)	http://data.bnf.fr/ark:/12148/cb15896408d#foaf:Person	http://www.idref.fr/136098797
M. Zhi Xing Xiao	Xiao, Zhi Xing (---)	http://data.bnf.fr/ark:/12148/cb15896408d#foaf:Person	http://www.idref.fr/136098797
M. Xiao	Xiao, Zhi Xing (---)	http://data.bnf.fr/ark:/12148/cb15896408d#foaf:Person	http://www.idref.fr/136098797
M Zhi Xing Xiao	Xiao, Zhi Xing (---)	http://data.bnf.fr/ark:/12148/cb15896408d#foaf:Person	http://www.idref.fr/136098797
之兴 萧	Xiao, Zhi Xing (---)	http://data.bnf.fr/ark:/12148/cb15896408d#foaf:Person	http://www.idref.fr/136098797
Xiaoming Xu	Xu, Xiaoming (---)	http://data.bnf.fr/ark:/12148/cb142404318#foaf:Person
M Xu	Xu, Xiaoming (---)	http://data.bnf.fr/ark:/12148/cb142404318#foaf:Person
M Xiaoming Xu	Xu, Xiaoming (---)	http://data.bnf.fr/ark:/12148/cb142404318#foaf:Person
Xu	Xu, Xiaoming (---)	http://data.bnf.fr/ark:/12148/cb142404318#foaf:Person
X Xu	Xu, Xiaoming (---)	http://data.bnf.fr/ark:/12148/cb142404318#foaf:Person
X. Xu	Xu, Xiaoming (---)	http://data.bnf.fr/ark:/12148/cb142404318#foaf:Person
M. Xiaoming Xu	Xu, Xiaoming (---)	http://data.bnf.fr/ark:/12148/cb142404318#foaf:Person
M. Xu	Xu, Xiaoming (---)	http://data.bnf.fr/ark:/12148/cb142404318#foaf:Person
Xhayet	Xhayet, Geneviève (---)	http://data.bnf.fr/ark:/12148/cb15924796k#foaf:Person	http://www.idref.fr/059793252
Geneviève Xhayet	Xhayet, Geneviève (---)	http://data.bnf.fr/ark:/12148/cb15924796k#foaf:Person	http://www.idref.fr/059793252
Mme Xhayet	Xhayet, Geneviève (---)	http://data.bnf.fr/ark:/12148/cb15924796k#foaf:Person	http://www.idref.fr/059793252
G Xhayet	Xhayet, Geneviève (---)	http://data.bnf.fr/ark:/12148/cb15924796k#foaf:Person	http://www.idref.fr/059793252
Mme. Geneviève Xhayet	Xhayet, Geneviève (---)	http://data.bnf.fr/ark:/12148/cb15924796k#foaf:Person	http://www.idref.fr/059793252
Mme. Xhayet	Xhayet, Geneviève (---)	http://data.bnf.fr/ark:/12148/cb15924796k#foaf:Person	http://www.idref.fr/059793252
G. Xhayet	Xhayet, Geneviève (---)	http://data.bnf.fr/ark:/12148/cb15924796k#foaf:Person	http://www.idref.fr/059793252
Mme Geneviève Xhayet	Xhayet, Geneviève (---)	http://data.bnf.fr/ark:/12148/cb15924796k#foaf:Person	http://www.idref.fr/059793252
Sebastian Xambó Descamps	Xambó Descamps, Sebastian (---)	http://data.bnf.fr/ark:/12148/cb12285063j#foaf:Person	http://www.idref.fr/078192617
M. Xambó Descamps	Xambó Descamps, Sebastian (---)	http://data.bnf.fr/ark:/12148/cb12285063j#foaf:Person	http://www.idref.fr/078192617
S. Xambó Descamps	Xambó Descamps, Sebastian (---)	http://data.bnf.fr/ark:/12148/cb12285063j#foaf:Person	http://www.idref.fr/078192617
M Sebastian Xambó Descamps	Xambó Descamps, Sebastian (---)	http://data.bnf.fr/ark:/12148/cb12285063j#foaf:Person	http://www.idref.fr/078192617
Sebastian Xambó Descamps	Xambó Descamps, Sebastian (---)	http://data.bnf.fr/ark:/12148/cb12285063j#foaf:Person	http://www.idref.fr/078192617
M Xambó Descamps	Xambó Descamps, Sebastian (---)	http://data.bnf.fr/ark:/12148/cb12285063j#foaf:Person	http://www.idref.fr/078192617
Xambó Descamps	Xambó Descamps, Sebastian (---)	http://data.bnf.fr/ark:/12148/cb12285063j#foaf:Person	http://www.idref.fr/078192617
S Xambó Descamps	Xambó Descamps, Sebastian (---)	http://data.bnf.fr/ark:/12148/cb12285063j#foaf:Person	http://www.idref.fr/078192617
M. Sebastian Xambó Descamps	Xambó Descamps, Sebastian (---)	http://data.bnf.fr/ark:/12148/cb12285063j#foaf:Person	http://www.idref.fr/078192617
'Aimilía N. Xanthopoúlou	Xanthopoúlou, Aimilía N. (---)	http://data.bnf.fr/ark:/12148/cb13494835z#foaf:Person
M. Xanthopoúlou	Xanthopoúlou, Aimilía N. (---)	http://data.bnf.fr/ark:/12148/cb13494835z#foaf:Person
A N Xanthopoúlou	Xanthopoúlou, Aimilía N. (---)	http://data.bnf.fr/ark:/12148/cb13494835z#foaf:Person
Xanthopoúlou	Xanthopoúlou, Aimilía N. (---)	http://data.bnf.fr/ark:/12148/cb13494835z#foaf:Person
Aimilía N. Xanthopoúlou	Xanthopoúlou, Aimilía N. (---)	http://data.bnf.fr/ark:/12148/cb13494835z#foaf:Person
M Aimilía N. Xanthopoúlou	Xanthopoúlou, Aimilía N. (---)	http://data.bnf.fr/ark:/12148/cb13494835z#foaf:Person
A. N. Xanthopoúlou	Xanthopoúlou, Aimilía N. (---)	http://data.bnf.fr/ark:/12148/cb13494835z#foaf:Person
M Xanthopoúlou	Xanthopoúlou, Aimilía N. (---)	http://data.bnf.fr/ark:/12148/cb13494835z#foaf:Person
M. Aimilía N. Xanthopoúlou	Xanthopoúlou, Aimilía N. (---)	http://data.bnf.fr/ark:/12148/cb13494835z#foaf:Person
Xu you yu	Xu, you yu (---)	http://data.bnf.fr/ark:/12148/cb15026252h#foaf:Person	http://www.idref.fr/113111509
you yu Xu	Xu, you yu (---)	http://data.bnf.fr/ark:/12148/cb15026252h#foaf:Person	http://www.idref.fr/113111509
M Xu	Xu, you yu (---)	http://data.bnf.fr/ark:/12148/cb15026252h#foaf:Person	http://www.idref.fr/113111509
M. you yu Xu	Xu, you yu (---)	http://data.bnf.fr/ark:/12148/cb15026252h#foaf:Person	http://www.idref.fr/113111509
M you yu Xu	Xu, you yu (---)	http://data.bnf.fr/ark:/12148/cb15026252h#foaf:Person	http://www.idref.fr/113111509
Xu	Xu, you yu (---)	http://data.bnf.fr/ark:/12148/cb15026252h#foaf:Person	http://www.idref.fr/113111509
M. Xu	Xu, you yu (---)	http://data.bnf.fr/ark:/12148/cb15026252h#foaf:Person	http://www.idref.fr/113111509
Youyu Xu	Xu, you yu (---)	http://data.bnf.fr/ark:/12148/cb15026252h#foaf:Person	http://www.idref.fr/113111509
友渔 徐	Xu, you yu (---)	http://data.bnf.fr/ark:/12148/cb15026252h#foaf:Person	http://www.idref.fr/113111509
M Joseph Ximeno	Ximeno, Joseph (--1769)	http://data.bnf.fr/ark:/12148/cb14834908x#foaf:Person
J. Ximeno	Ximeno, Joseph (--1769)	http://data.bnf.fr/ark:/12148/cb14834908x#foaf:Person
M Ximeno	Ximeno, Joseph (--1769)	http://data.bnf.fr/ark:/12148/cb14834908x#foaf:Person
Joseph Ximeno	Ximeno, Joseph (--1769)	http://data.bnf.fr/ark:/12148/cb14834908x#foaf:Person
M. Ximeno	Ximeno, Joseph (--1769)	http://data.bnf.fr/ark:/12148/cb14834908x#foaf:Person
Ximeno	Ximeno, Joseph (--1769)	http://data.bnf.fr/ark:/12148/cb14834908x#foaf:Person
M. Joseph Ximeno	Ximeno, Joseph (--1769)	http://data.bnf.fr/ark:/12148/cb14834908x#foaf:Person
J Ximeno	Ximeno, Joseph (--1769)	http://data.bnf.fr/ark:/12148/cb14834908x#foaf:Person
Tʻieh-chi Hsiung	Xiong, Tie ji (1933--)	http://data.bnf.fr/ark:/12148/cb167126685#foaf:Person
T Xiong	Xiong, Tie ji (1933--)	http://data.bnf.fr/ark:/12148/cb167126685#foaf:Person
M. Tie ji Xiong	Xiong, Tie ji (1933--)	http://data.bnf.fr/ark:/12148/cb167126685#foaf:Person
T. Xiong	Xiong, Tie ji (1933--)	http://data.bnf.fr/ark:/12148/cb167126685#foaf:Person
M Tie ji Xiong	Xiong, Tie ji (1933--)	http://data.bnf.fr/ark:/12148/cb167126685#foaf:Person
Tie ji Xiong	Xiong, Tie ji (1933--)	http://data.bnf.fr/ark:/12148/cb167126685#foaf:Person
Xiong	Xiong, Tie ji (1933--)	http://data.bnf.fr/ark:/12148/cb167126685#foaf:Person
M Xiong	Xiong, Tie ji (1933--)	http://data.bnf.fr/ark:/12148/cb167126685#foaf:Person
M. Xiong	Xiong, Tie ji (1933--)	http://data.bnf.fr/ark:/12148/cb167126685#foaf:Person
Tieji Xiong	Xiong, Tie ji (1933--)	http://data.bnf.fr/ark:/12148/cb167126685#foaf:Person
鐡基 熊	Xiong, Tie ji (1933--)	http://data.bnf.fr/ark:/12148/cb167126685#foaf:Person
Xydias	Xydias, Jean (---)	http://data.bnf.fr/ark:/12148/cb126469069#foaf:Person
Jean Xydias	Xydias, Jean (---)	http://data.bnf.fr/ark:/12148/cb126469069#foaf:Person
M Xydias	Xydias, Jean (---)	http://data.bnf.fr/ark:/12148/cb126469069#foaf:Person
J. Xydias	Xydias, Jean (---)	http://data.bnf.fr/ark:/12148/cb126469069#foaf:Person
M Jean Xydias	Xydias, Jean (---)	http://data.bnf.fr/ark:/12148/cb126469069#foaf:Person
M. Xydias	Xydias, Jean (---)	http://data.bnf.fr/ark:/12148/cb126469069#foaf:Person
J Xydias	Xydias, Jean (---)	http://data.bnf.fr/ark:/12148/cb126469069#foaf:Person
M. Jean Xydias	Xydias, Jean (---)	http://data.bnf.fr/ark:/12148/cb126469069#foaf:Person
J Ximenez Gabarri	Ximenez Gabarri, Jesus (---)	http://data.bnf.fr/ark:/12148/cb16612340s#foaf:Person
J. Ximenez Gabarri	Ximenez Gabarri, Jesus (---)	http://data.bnf.fr/ark:/12148/cb16612340s#foaf:Person
Ximenez Gabarri	Ximenez Gabarri, Jesus (---)	http://data.bnf.fr/ark:/12148/cb16612340s#foaf:Person
M Ximenez Gabarri	Ximenez Gabarri, Jesus (---)	http://data.bnf.fr/ark:/12148/cb16612340s#foaf:Person
M Jesus Ximenez Gabarri	Ximenez Gabarri, Jesus (---)	http://data.bnf.fr/ark:/12148/cb16612340s#foaf:Person
Jesus Ximenez Gabarri	Ximenez Gabarri, Jesus (---)	http://data.bnf.fr/ark:/12148/cb16612340s#foaf:Person
M. Jesus Ximenez Gabarri	Ximenez Gabarri, Jesus (---)	http://data.bnf.fr/ark:/12148/cb16612340s#foaf:Person
M. Ximenez Gabarri	Ximenez Gabarri, Jesus (---)	http://data.bnf.fr/ark:/12148/cb16612340s#foaf:Person
Mme. Cecilia Xuereb	Xuereb, Cecilia (1939--)	http://data.bnf.fr/ark:/12148/cb14616254w#foaf:Person
Cecilia Xuereb	Xuereb, Cecilia (1939--)	http://data.bnf.fr/ark:/12148/cb14616254w#foaf:Person
C. Xuereb	Xuereb, Cecilia (1939--)	http://data.bnf.fr/ark:/12148/cb14616254w#foaf:Person
Mme. Xuereb	Xuereb, Cecilia (1939--)	http://data.bnf.fr/ark:/12148/cb14616254w#foaf:Person
Mme Xuereb	Xuereb, Cecilia (1939--)	http://data.bnf.fr/ark:/12148/cb14616254w#foaf:Person
Mme Cecilia Xuereb	Xuereb, Cecilia (1939--)	http://data.bnf.fr/ark:/12148/cb14616254w#foaf:Person
Xuereb	Xuereb, Cecilia (1939--)	http://data.bnf.fr/ark:/12148/cb14616254w#foaf:Person
C Xuereb	Xuereb, Cecilia (1939--)	http://data.bnf.fr/ark:/12148/cb14616254w#foaf:Person
Jérica	Xèrica (---)	http://data.bnf.fr/ark:/12148/cb135415853#foaf:Person
Xèrica	Xèrica (---)	http://data.bnf.fr/ark:/12148/cb135415853#foaf:Person
M. Xèrica	Xèrica (---)	http://data.bnf.fr/ark:/12148/cb135415853#foaf:Person
M Xèrica	Xèrica (---)	http://data.bnf.fr/ark:/12148/cb135415853#foaf:Person
Xuân Hà	Xuân Hà (---)	http://data.bnf.fr/ark:/12148/cb14571248t#foaf:Person
Mme Xuân Hà	Xuân Hà (---)	http://data.bnf.fr/ark:/12148/cb14571248t#foaf:Person
Mme. Xuân Hà	Xuân Hà (---)	http://data.bnf.fr/ark:/12148/cb14571248t#foaf:Person
M François Xavier	Xavier, François (1966--)	http://data.bnf.fr/ark:/12148/cb12497360c#foaf:Person	http://www.idref.fr/034190112
M. François Xavier	Xavier, François (1966--)	http://data.bnf.fr/ark:/12148/cb12497360c#foaf:Person	http://www.idref.fr/034190112
M Xavier	Xavier, François (1966--)	http://data.bnf.fr/ark:/12148/cb12497360c#foaf:Person	http://www.idref.fr/034190112
François Xavier	Xavier, François (1966--)	http://data.bnf.fr/ark:/12148/cb12497360c#foaf:Person	http://www.idref.fr/034190112
F. Xavier	Xavier, François (1966--)	http://data.bnf.fr/ark:/12148/cb12497360c#foaf:Person	http://www.idref.fr/034190112
F Xavier	Xavier, François (1966--)	http://data.bnf.fr/ark:/12148/cb12497360c#foaf:Person	http://www.idref.fr/034190112
M. Xavier	Xavier, François (1966--)	http://data.bnf.fr/ark:/12148/cb12497360c#foaf:Person	http://www.idref.fr/034190112
Xavier	Xavier, François (1966--)	http://data.bnf.fr/ark:/12148/cb12497360c#foaf:Person	http://www.idref.fr/034190112
M. Wang Xiaobo	Xiaobo, Wang (1952-1997)	http://data.bnf.fr/ark:/12148/cb16055584g#foaf:Person
M. Xiaobo	Xiaobo, Wang (1952-1997)	http://data.bnf.fr/ark:/12148/cb16055584g#foaf:Person
M Wang Xiaobo	Xiaobo, Wang (1952-1997)	http://data.bnf.fr/ark:/12148/cb16055584g#foaf:Person
M Xiaobo	Xiaobo, Wang (1952-1997)	http://data.bnf.fr/ark:/12148/cb16055584g#foaf:Person
W Xiaobo	Xiaobo, Wang (1952-1997)	http://data.bnf.fr/ark:/12148/cb16055584g#foaf:Person
Xiaobo	Xiaobo, Wang (1952-1997)	http://data.bnf.fr/ark:/12148/cb16055584g#foaf:Person
Wang Xiaobo	Xiaobo, Wang (1952-1997)	http://data.bnf.fr/ark:/12148/cb16055584g#foaf:Person
W. Xiaobo	Xiaobo, Wang (1952-1997)	http://data.bnf.fr/ark:/12148/cb16055584g#foaf:Person
Kuang-chung Hsiang	Xiang, Guangzhong (---)	http://data.bnf.fr/ark:/12148/cb134790524#foaf:Person
Xiang	Xiang, Guangzhong (---)	http://data.bnf.fr/ark:/12148/cb134790524#foaf:Person
M Guangzhong Xiang	Xiang, Guangzhong (---)	http://data.bnf.fr/ark:/12148/cb134790524#foaf:Person
Guangzhong Xiang	Xiang, Guangzhong (---)	http://data.bnf.fr/ark:/12148/cb134790524#foaf:Person
M Xiang	Xiang, Guangzhong (---)	http://data.bnf.fr/ark:/12148/cb134790524#foaf:Person
G. Xiang	Xiang, Guangzhong (---)	http://data.bnf.fr/ark:/12148/cb134790524#foaf:Person
G Xiang	Xiang, Guangzhong (---)	http://data.bnf.fr/ark:/12148/cb134790524#foaf:Person
M. Xiang	Xiang, Guangzhong (---)	http://data.bnf.fr/ark:/12148/cb134790524#foaf:Person
M. Guangzhong Xiang	Xiang, Guangzhong (---)	http://data.bnf.fr/ark:/12148/cb134790524#foaf:Person
Mingyin Xu	Xu, Ming yin (1952--)	http://data.bnf.fr/ark:/12148/cb14599583h#foaf:Person
M Ming yin Xu	Xu, Ming yin (1952--)	http://data.bnf.fr/ark:/12148/cb14599583h#foaf:Person
M. Ming yin Xu	Xu, Ming yin (1952--)	http://data.bnf.fr/ark:/12148/cb14599583h#foaf:Person
M Xu	Xu, Ming yin (1952--)	http://data.bnf.fr/ark:/12148/cb14599583h#foaf:Person
Xu	Xu, Ming yin (1952--)	http://data.bnf.fr/ark:/12148/cb14599583h#foaf:Person
Ming yin Xu	Xu, Ming yin (1952--)	http://data.bnf.fr/ark:/12148/cb14599583h#foaf:Person
M. Xu	Xu, Ming yin (1952--)	http://data.bnf.fr/ark:/12148/cb14599583h#foaf:Person
明银 許	Xu, Ming yin (1952--)	http://data.bnf.fr/ark:/12148/cb14599583h#foaf:Person
qiu li Xue	Xue, Charlie Q. L. (---)	http://data.bnf.fr/ark:/12148/cb155298146#foaf:Person	http://www.idref.fr/108967379
M. Charlie Q. L. Xue	Xue, Charlie Q. L. (---)	http://data.bnf.fr/ark:/12148/cb155298146#foaf:Person	http://www.idref.fr/108967379
M. Xue	Xue, Charlie Q. L. (---)	http://data.bnf.fr/ark:/12148/cb155298146#foaf:Person	http://www.idref.fr/108967379
Xue	Xue, Charlie Q. L. (---)	http://data.bnf.fr/ark:/12148/cb155298146#foaf:Person	http://www.idref.fr/108967379
M Charlie Q. L. Xue	Xue, Charlie Q. L. (---)	http://data.bnf.fr/ark:/12148/cb155298146#foaf:Person	http://www.idref.fr/108967379
Charlie Q. L. Xue	Xue, Charlie Q. L. (---)	http://data.bnf.fr/ark:/12148/cb155298146#foaf:Person	http://www.idref.fr/108967379
M Xue	Xue, Charlie Q. L. (---)	http://data.bnf.fr/ark:/12148/cb155298146#foaf:Person	http://www.idref.fr/108967379
C Q L Xue	Xue, Charlie Q. L. (---)	http://data.bnf.fr/ark:/12148/cb155298146#foaf:Person	http://www.idref.fr/108967379
C. Q. L. Xue	Xue, Charlie Q. L. (---)	http://data.bnf.fr/ark:/12148/cb155298146#foaf:Person	http://www.idref.fr/108967379
Qiuli Xue	Xue, Charlie Q. L. (---)	http://data.bnf.fr/ark:/12148/cb155298146#foaf:Person	http://www.idref.fr/108967379
求理 薛	Xue, Charlie Q. L. (---)	http://data.bnf.fr/ark:/12148/cb155298146#foaf:Person	http://www.idref.fr/108967379
Guimie Xia	Xia, Gui Mei (1943--)	http://data.bnf.fr/ark:/12148/cb16015720z#foaf:Person
M. Xia	Xia, Gui Mei (1943--)	http://data.bnf.fr/ark:/12148/cb16015720z#foaf:Person
M Gui Mei Xia	Xia, Gui Mei (1943--)	http://data.bnf.fr/ark:/12148/cb16015720z#foaf:Person
G. M. Xia	Xia, Gui Mei (1943--)	http://data.bnf.fr/ark:/12148/cb16015720z#foaf:Person
Gui Mei Xia	Xia, Gui Mei (1943--)	http://data.bnf.fr/ark:/12148/cb16015720z#foaf:Person
M Xia	Xia, Gui Mei (1943--)	http://data.bnf.fr/ark:/12148/cb16015720z#foaf:Person
Xia	Xia, Gui Mei (1943--)	http://data.bnf.fr/ark:/12148/cb16015720z#foaf:Person
G M Xia	Xia, Gui Mei (1943--)	http://data.bnf.fr/ark:/12148/cb16015720z#foaf:Person
M. Gui Mei Xia	Xia, Gui Mei (1943--)	http://data.bnf.fr/ark:/12148/cb16015720z#foaf:Person
桂楣 夏	Xia, Gui Mei (1943--)	http://data.bnf.fr/ark:/12148/cb16015720z#foaf:Person
Mingfang Xia	Xia, Ming fang (1964--)	http://data.bnf.fr/ark:/12148/cb155964155#foaf:Person	http://www.idref.fr/131383337
M. Xia	Xia, Ming fang (1964--)	http://data.bnf.fr/ark:/12148/cb155964155#foaf:Person	http://www.idref.fr/131383337
M. Ming fang Xia	Xia, Ming fang (1964--)	http://data.bnf.fr/ark:/12148/cb155964155#foaf:Person	http://www.idref.fr/131383337
M Ming fang Xia	Xia, Ming fang (1964--)	http://data.bnf.fr/ark:/12148/cb155964155#foaf:Person	http://www.idref.fr/131383337
M Xia	Xia, Ming fang (1964--)	http://data.bnf.fr/ark:/12148/cb155964155#foaf:Person	http://www.idref.fr/131383337
Xia	Xia, Ming fang (1964--)	http://data.bnf.fr/ark:/12148/cb155964155#foaf:Person	http://www.idref.fr/131383337
Ming fang Xia	Xia, Ming fang (1964--)	http://data.bnf.fr/ark:/12148/cb155964155#foaf:Person	http://www.idref.fr/131383337
明方 夏	Xia, Ming fang (1964--)	http://data.bnf.fr/ark:/12148/cb155964155#foaf:Person	http://www.idref.fr/131383337
Xingyun dashi	Xing yun (1927--)	http://data.bnf.fr/ark:/12148/cb162778100#foaf:Person	http://dbpedia.org/resource/Hsing-Yun	http://www.idref.fr/116709944
M. Xing yun	Xing yun (1927--)	http://data.bnf.fr/ark:/12148/cb162778100#foaf:Person	http://dbpedia.org/resource/Hsing-Yun	http://www.idref.fr/116709944
Xing yun	Xing yun (1927--)	http://data.bnf.fr/ark:/12148/cb162778100#foaf:Person	http://dbpedia.org/resource/Hsing-Yun	http://www.idref.fr/116709944
M Xing yun	Xing yun (1927--)	http://data.bnf.fr/ark:/12148/cb162778100#foaf:Person	http://dbpedia.org/resource/Hsing-Yun	http://www.idref.fr/116709944
Shi xing yun	Xing yun (1927--)	http://data.bnf.fr/ark:/12148/cb162778100#foaf:Person	http://dbpedia.org/resource/Hsing-Yun	http://www.idref.fr/116709944
Hsing Yun	Xing yun (1927--)	http://data.bnf.fr/ark:/12148/cb162778100#foaf:Person	http://dbpedia.org/resource/Hsing-Yun	http://www.idref.fr/116709944
Xing yun da shi	Xing yun (1927--)	http://data.bnf.fr/ark:/12148/cb162778100#foaf:Person	http://dbpedia.org/resource/Hsing-Yun	http://www.idref.fr/116709944
星云	Xing yun (1927--)	http://data.bnf.fr/ark:/12148/cb162778100#foaf:Person	http://dbpedia.org/resource/Hsing-Yun	http://www.idref.fr/116709944
Xingyun fashi	Xing yun (1927--)	http://data.bnf.fr/ark:/12148/cb162778100#foaf:Person	http://dbpedia.org/resource/Hsing-Yun	http://www.idref.fr/116709944
Xing yun Shi	Xing yun (1927--)	http://data.bnf.fr/ark:/12148/cb162778100#foaf:Person	http://dbpedia.org/resource/Hsing-Yun	http://www.idref.fr/116709944
Guo shen Li	Xing yun (1927--)	http://data.bnf.fr/ark:/12148/cb162778100#foaf:Person	http://dbpedia.org/resource/Hsing-Yun	http://www.idref.fr/116709944
Xingyun Shi	Xing yun (1927--)	http://data.bnf.fr/ark:/12148/cb162778100#foaf:Person	http://dbpedia.org/resource/Hsing-Yun	http://www.idref.fr/116709944
Xing yun fa shi	Xing yun (1927--)	http://data.bnf.fr/ark:/12148/cb162778100#foaf:Person	http://dbpedia.org/resource/Hsing-Yun	http://www.idref.fr/116709944
国深 李	Xing yun (1927--)	http://data.bnf.fr/ark:/12148/cb162778100#foaf:Person	http://dbpedia.org/resource/Hsing-Yun	http://www.idref.fr/116709944
M Xuân Ba	Xuân Ba (---)	http://data.bnf.fr/ark:/12148/cb12369858w#foaf:Person
Xuân Ba	Xuân Ba (---)	http://data.bnf.fr/ark:/12148/cb12369858w#foaf:Person
M. Xuân Ba	Xuân Ba (---)	http://data.bnf.fr/ark:/12148/cb12369858w#foaf:Person
Shuyan Xu	Xu, Shuyan (---)	http://data.bnf.fr/ark:/12148/cb158462002#foaf:Person	http://www.idref.fr/119886936
S Xu	Xu, Shuyan (---)	http://data.bnf.fr/ark:/12148/cb158462002#foaf:Person	http://www.idref.fr/119886936
M Xu	Xu, Shuyan (---)	http://data.bnf.fr/ark:/12148/cb158462002#foaf:Person	http://www.idref.fr/119886936
M. Shuyan Xu	Xu, Shuyan (---)	http://data.bnf.fr/ark:/12148/cb158462002#foaf:Person	http://www.idref.fr/119886936
Xu	Xu, Shuyan (---)	http://data.bnf.fr/ark:/12148/cb158462002#foaf:Person	http://www.idref.fr/119886936
S. Xu	Xu, Shuyan (---)	http://data.bnf.fr/ark:/12148/cb158462002#foaf:Person	http://www.idref.fr/119886936
M Shuyan Xu	Xu, Shuyan (---)	http://data.bnf.fr/ark:/12148/cb158462002#foaf:Person	http://www.idref.fr/119886936
M. Xu	Xu, Shuyan (---)	http://data.bnf.fr/ark:/12148/cb158462002#foaf:Person	http://www.idref.fr/119886936
Peiyu Xu	Xu, Pei yu (1968--)	http://data.bnf.fr/ark:/12148/cb15561281k#foaf:Person
M Pei yu Xu	Xu, Pei yu (1968--)	http://data.bnf.fr/ark:/12148/cb15561281k#foaf:Person
P. Xu	Xu, Pei yu (1968--)	http://data.bnf.fr/ark:/12148/cb15561281k#foaf:Person
M Xu	Xu, Pei yu (1968--)	http://data.bnf.fr/ark:/12148/cb15561281k#foaf:Person
Xu	Xu, Pei yu (1968--)	http://data.bnf.fr/ark:/12148/cb15561281k#foaf:Person
Pei yu Xu	Xu, Pei yu (1968--)	http://data.bnf.fr/ark:/12148/cb15561281k#foaf:Person
P Xu	Xu, Pei yu (1968--)	http://data.bnf.fr/ark:/12148/cb15561281k#foaf:Person
M. Pei yu Xu	Xu, Pei yu (1968--)	http://data.bnf.fr/ark:/12148/cb15561281k#foaf:Person
M. Xu	Xu, Pei yu (1968--)	http://data.bnf.fr/ark:/12148/cb15561281k#foaf:Person
Pei yu Hsu	Xu, Pei yu (1968--)	http://data.bnf.fr/ark:/12148/cb15561281k#foaf:Person
培育 许	Xu, Pei yu (1968--)	http://data.bnf.fr/ark:/12148/cb15561281k#foaf:Person
Peiyu Hsu	Xu, Pei yu (1968--)	http://data.bnf.fr/ark:/12148/cb15561281k#foaf:Person
M Xuân Hồng	Xuân Hồng (---)	http://data.bnf.fr/ark:/12148/cb138158953#foaf:Person
M. Xuân Hồng	Xuân Hồng (---)	http://data.bnf.fr/ark:/12148/cb138158953#foaf:Person
Xuân Hồng	Xuân Hồng (---)	http://data.bnf.fr/ark:/12148/cb138158953#foaf:Person
宗禹 夏	Xia, zong yu (---)	http://data.bnf.fr/ark:/12148/cb150709970#foaf:Person
M. Xia	Xia, zong yu (---)	http://data.bnf.fr/ark:/12148/cb150709970#foaf:Person
