Barbara Karinska	Karinska, Barbara (1886-1983)	http://data.bnf.fr/ark:/12148/cb148494931#foaf:Person
R. D. Karmarkar	Karmarkar, Raghunath Damodar (1893-1965)	http://data.bnf.fr/ark:/12148/cb14369827w#foaf:Person
M Karmarkar	Karmarkar, Raghunath Damodar (1893-1965)	http://data.bnf.fr/ark:/12148/cb14369827w#foaf:Person
M Raghunath Damodar Karmarkar	Karmarkar, Raghunath Damodar (1893-1965)	http://data.bnf.fr/ark:/12148/cb14369827w#foaf:Person
M. Karmarkar	Karmarkar, Raghunath Damodar (1893-1965)	http://data.bnf.fr/ark:/12148/cb14369827w#foaf:Person
M. Raghunath Damodar Karmarkar	Karmarkar, Raghunath Damodar (1893-1965)	http://data.bnf.fr/ark:/12148/cb14369827w#foaf:Person
Abaji Vishnu Kathavate	Kāṭhavate, Ābājī Viṣṇu (1846-1901)	http://data.bnf.fr/ark:/12148/cb14538360t#foaf:Person
Ābājī Viṣṇu Kāṭhavate	Kāṭhavate, Ābājī Viṣṇu (1846-1901)	http://data.bnf.fr/ark:/12148/cb14538360t#foaf:Person
Kāṭhavate	Kāṭhavate, Ābājī Viṣṇu (1846-1901)	http://data.bnf.fr/ark:/12148/cb14538360t#foaf:Person
A V Kāṭhavate	Kāṭhavate, Ābājī Viṣṇu (1846-1901)	http://data.bnf.fr/ark:/12148/cb14538360t#foaf:Person
A. V. Kāṭhavate	Kāṭhavate, Ābājī Viṣṇu (1846-1901)	http://data.bnf.fr/ark:/12148/cb14538360t#foaf:Person
M Kāṭhavate	Kāṭhavate, Ābājī Viṣṇu (1846-1901)	http://data.bnf.fr/ark:/12148/cb14538360t#foaf:Person
M Ābājī Viṣṇu Kāṭhavate	Kāṭhavate, Ābājī Viṣṇu (1846-1901)	http://data.bnf.fr/ark:/12148/cb14538360t#foaf:Person
M. Kāṭhavate	Kāṭhavate, Ābājī Viṣṇu (1846-1901)	http://data.bnf.fr/ark:/12148/cb14538360t#foaf:Person
M. Ābājī Viṣṇu Kāṭhavate	Kāṭhavate, Ābājī Viṣṇu (1846-1901)	http://data.bnf.fr/ark:/12148/cb14538360t#foaf:Person
Ābājī Viṣṇu Kāṭhvate	Kāṭhavate, Ābājī Viṣṇu (1846-1901)	http://data.bnf.fr/ark:/12148/cb14538360t#foaf:Person
Willibald Kirfel	Kirfel, Willibald (1885-1964)	http://data.bnf.fr/ark:/12148/cb126903214#foaf:Person	http://www.idref.fr/052462021
Kirfel	Kirfel, Willibald (1885-1964)	http://data.bnf.fr/ark:/12148/cb126903214#foaf:Person	http://www.idref.fr/052462021
W Kirfel	Kirfel, Willibald (1885-1964)	http://data.bnf.fr/ark:/12148/cb126903214#foaf:Person	http://www.idref.fr/052462021
W. Kirfel	Kirfel, Willibald (1885-1964)	http://data.bnf.fr/ark:/12148/cb126903214#foaf:Person	http://www.idref.fr/052462021
M Kirfel	Kirfel, Willibald (1885-1964)	http://data.bnf.fr/ark:/12148/cb126903214#foaf:Person	http://www.idref.fr/052462021
M Willibald Kirfel	Kirfel, Willibald (1885-1964)	http://data.bnf.fr/ark:/12148/cb126903214#foaf:Person	http://www.idref.fr/052462021
M. Kirfel	Kirfel, Willibald (1885-1964)	http://data.bnf.fr/ark:/12148/cb126903214#foaf:Person	http://www.idref.fr/052462021
M. Willibald Kirfel	Kirfel, Willibald (1885-1964)	http://data.bnf.fr/ark:/12148/cb126903214#foaf:Person	http://www.idref.fr/052462021
Elena Klimentjewna Katulskaya	Katulʹskaâ, Elena Klimentʹevna (1888-1966)	http://data.bnf.fr/ark:/12148/cb13980706s#foaf:Person
Elena Klimentʹevna Katulʹskaâ	Katulʹskaâ, Elena Klimentʹevna (1888-1966)	http://data.bnf.fr/ark:/12148/cb13980706s#foaf:Person
Katulʹskaâ	Katulʹskaâ, Elena Klimentʹevna (1888-1966)	http://data.bnf.fr/ark:/12148/cb13980706s#foaf:Person
E K Katulʹskaâ	Katulʹskaâ, Elena Klimentʹevna (1888-1966)	http://data.bnf.fr/ark:/12148/cb13980706s#foaf:Person
E. K. Katulʹskaâ	Katulʹskaâ, Elena Klimentʹevna (1888-1966)	http://data.bnf.fr/ark:/12148/cb13980706s#foaf:Person
Mme Katulʹskaâ	Katulʹskaâ, Elena Klimentʹevna (1888-1966)	http://data.bnf.fr/ark:/12148/cb13980706s#foaf:Person
Mme Elena Klimentʹevna Katulʹskaâ	Katulʹskaâ, Elena Klimentʹevna (1888-1966)	http://data.bnf.fr/ark:/12148/cb13980706s#foaf:Person
Mme. Katulʹskaâ	Katulʹskaâ, Elena Klimentʹevna (1888-1966)	http://data.bnf.fr/ark:/12148/cb13980706s#foaf:Person
Mme. Elena Klimentʹevna Katulʹskaâ	Katulʹskaâ, Elena Klimentʹevna (1888-1966)	http://data.bnf.fr/ark:/12148/cb13980706s#foaf:Person
Yelena Kliment'yevna Katul'skaya	Katulʹskaâ, Elena Klimentʹevna (1888-1966)	http://data.bnf.fr/ark:/12148/cb13980706s#foaf:Person
Johann Philipp Krieger	Krieger, Johann Philipp (1649-1725)	http://data.bnf.fr/ark:/12148/cb144510778#foaf:Person	http://dbpedia.org/resource/Johann_Philipp_Krieger	http://www.idref.fr/118145215
Krieger	Krieger, Johann Philipp (1649-1725)	http://data.bnf.fr/ark:/12148/cb144510778#foaf:Person	http://dbpedia.org/resource/Johann_Philipp_Krieger	http://www.idref.fr/118145215
J P Krieger	Krieger, Johann Philipp (1649-1725)	http://data.bnf.fr/ark:/12148/cb144510778#foaf:Person	http://dbpedia.org/resource/Johann_Philipp_Krieger	http://www.idref.fr/118145215
J. P. Krieger	Krieger, Johann Philipp (1649-1725)	http://data.bnf.fr/ark:/12148/cb144510778#foaf:Person	http://dbpedia.org/resource/Johann_Philipp_Krieger	http://www.idref.fr/118145215
M Krieger	Krieger, Johann Philipp (1649-1725)	http://data.bnf.fr/ark:/12148/cb144510778#foaf:Person	http://dbpedia.org/resource/Johann_Philipp_Krieger	http://www.idref.fr/118145215
M Johann Philipp Krieger	Krieger, Johann Philipp (1649-1725)	http://data.bnf.fr/ark:/12148/cb144510778#foaf:Person	http://dbpedia.org/resource/Johann_Philipp_Krieger	http://www.idref.fr/118145215
M. Krieger	Krieger, Johann Philipp (1649-1725)	http://data.bnf.fr/ark:/12148/cb144510778#foaf:Person	http://dbpedia.org/resource/Johann_Philipp_Krieger	http://www.idref.fr/118145215
M. Johann Philipp Krieger	Krieger, Johann Philipp (1649-1725)	http://data.bnf.fr/ark:/12148/cb144510778#foaf:Person	http://dbpedia.org/resource/Johann_Philipp_Krieger	http://www.idref.fr/118145215
Olga Kokhlova	Koklova, Olga (1891-1955)	http://data.bnf.fr/ark:/12148/cb14842986f#foaf:Person	http://dbpedia.org/resource/Olga_Khokhlova
Olga Koklova	Koklova, Olga (1891-1955)	http://data.bnf.fr/ark:/12148/cb14842986f#foaf:Person	http://dbpedia.org/resource/Olga_Khokhlova
Koklova	Koklova, Olga (1891-1955)	http://data.bnf.fr/ark:/12148/cb14842986f#foaf:Person	http://dbpedia.org/resource/Olga_Khokhlova
O Koklova	Koklova, Olga (1891-1955)	http://data.bnf.fr/ark:/12148/cb14842986f#foaf:Person	http://dbpedia.org/resource/Olga_Khokhlova
O. Koklova	Koklova, Olga (1891-1955)	http://data.bnf.fr/ark:/12148/cb14842986f#foaf:Person	http://dbpedia.org/resource/Olga_Khokhlova
Mme Koklova	Koklova, Olga (1891-1955)	http://data.bnf.fr/ark:/12148/cb14842986f#foaf:Person	http://dbpedia.org/resource/Olga_Khokhlova
Mme Olga Koklova	Koklova, Olga (1891-1955)	http://data.bnf.fr/ark:/12148/cb14842986f#foaf:Person	http://dbpedia.org/resource/Olga_Khokhlova
Mme. Koklova	Koklova, Olga (1891-1955)	http://data.bnf.fr/ark:/12148/cb14842986f#foaf:Person	http://dbpedia.org/resource/Olga_Khokhlova
Mme. Olga Koklova	Koklova, Olga (1891-1955)	http://data.bnf.fr/ark:/12148/cb14842986f#foaf:Person	http://dbpedia.org/resource/Olga_Khokhlova
Olga Khokhlova	Koklova, Olga (1891-1955)	http://data.bnf.fr/ark:/12148/cb14842986f#foaf:Person	http://dbpedia.org/resource/Olga_Khokhlova
Olga Picasso	Koklova, Olga (1891-1955)	http://data.bnf.fr/ark:/12148/cb14842986f#foaf:Person	http://dbpedia.org/resource/Olga_Khokhlova
Olga Chochlova	Koklova, Olga (1891-1955)	http://data.bnf.fr/ark:/12148/cb14842986f#foaf:Person	http://dbpedia.org/resource/Olga_Khokhlova
Jeanne Kieffer Gazala	Kieffer, Jeanne (1872-1939)	http://data.bnf.fr/ark:/12148/cb127320044#foaf:Person	http://www.idref.fr/137814097
Jeanne Kieffer	Kieffer, Jeanne (1872-1939)	http://data.bnf.fr/ark:/12148/cb127320044#foaf:Person	http://www.idref.fr/137814097
Kieffer	Kieffer, Jeanne (1872-1939)	http://data.bnf.fr/ark:/12148/cb127320044#foaf:Person	http://www.idref.fr/137814097
J Kieffer	Kieffer, Jeanne (1872-1939)	http://data.bnf.fr/ark:/12148/cb127320044#foaf:Person	http://www.idref.fr/137814097
J. Kieffer	Kieffer, Jeanne (1872-1939)	http://data.bnf.fr/ark:/12148/cb127320044#foaf:Person	http://www.idref.fr/137814097
Mme Kieffer	Kieffer, Jeanne (1872-1939)	http://data.bnf.fr/ark:/12148/cb127320044#foaf:Person	http://www.idref.fr/137814097
Mme Jeanne Kieffer	Kieffer, Jeanne (1872-1939)	http://data.bnf.fr/ark:/12148/cb127320044#foaf:Person	http://www.idref.fr/137814097
Mme. Kieffer	Kieffer, Jeanne (1872-1939)	http://data.bnf.fr/ark:/12148/cb127320044#foaf:Person	http://www.idref.fr/137814097
Mme. Jeanne Kieffer	Kieffer, Jeanne (1872-1939)	http://data.bnf.fr/ark:/12148/cb127320044#foaf:Person	http://www.idref.fr/137814097
Jeanne Gazala	Kieffer, Jeanne (1872-1939)	http://data.bnf.fr/ark:/12148/cb127320044#foaf:Person	http://www.idref.fr/137814097
Madame Gazala Bey	Kieffer, Jeanne (1872-1939)	http://data.bnf.fr/ark:/12148/cb127320044#foaf:Person	http://www.idref.fr/137814097
Richard Kroner	Kroner, Richard (1884-1974)	http://data.bnf.fr/ark:/12148/cb12198950f#foaf:Person	http://www.idref.fr/030608287
Kroner	Kroner, Richard (1884-1974)	http://data.bnf.fr/ark:/12148/cb12198950f#foaf:Person	http://www.idref.fr/030608287
R Kroner	Kroner, Richard (1884-1974)	http://data.bnf.fr/ark:/12148/cb12198950f#foaf:Person	http://www.idref.fr/030608287
R. Kroner	Kroner, Richard (1884-1974)	http://data.bnf.fr/ark:/12148/cb12198950f#foaf:Person	http://www.idref.fr/030608287
M Kroner	Kroner, Richard (1884-1974)	http://data.bnf.fr/ark:/12148/cb12198950f#foaf:Person	http://www.idref.fr/030608287
M Richard Kroner	Kroner, Richard (1884-1974)	http://data.bnf.fr/ark:/12148/cb12198950f#foaf:Person	http://www.idref.fr/030608287
M. Kroner	Kroner, Richard (1884-1974)	http://data.bnf.fr/ark:/12148/cb12198950f#foaf:Person	http://www.idref.fr/030608287
M. Richard Kroner	Kroner, Richard (1884-1974)	http://data.bnf.fr/ark:/12148/cb12198950f#foaf:Person	http://www.idref.fr/030608287
Peter Kellner Hostinský	Kellner Hostinský, Peter (1823-1873)	http://data.bnf.fr/ark:/12148/cb127836925#foaf:Person
Kellner Hostinský	Kellner Hostinský, Peter (1823-1873)	http://data.bnf.fr/ark:/12148/cb127836925#foaf:Person
P Kellner Hostinský	Kellner Hostinský, Peter (1823-1873)	http://data.bnf.fr/ark:/12148/cb127836925#foaf:Person
P. Kellner Hostinský	Kellner Hostinský, Peter (1823-1873)	http://data.bnf.fr/ark:/12148/cb127836925#foaf:Person
M Kellner Hostinský	Kellner Hostinský, Peter (1823-1873)	http://data.bnf.fr/ark:/12148/cb127836925#foaf:Person
M Peter Kellner Hostinský	Kellner Hostinský, Peter (1823-1873)	http://data.bnf.fr/ark:/12148/cb127836925#foaf:Person
M. Kellner Hostinský	Kellner Hostinský, Peter (1823-1873)	http://data.bnf.fr/ark:/12148/cb127836925#foaf:Person
M. Peter Kellner Hostinský	Kellner Hostinský, Peter (1823-1873)	http://data.bnf.fr/ark:/12148/cb127836925#foaf:Person
Carl Franz Koehler	Köhler, Karl Franz Gottlieb (1764-1833)	http://data.bnf.fr/ark:/12148/cb14529753p#foaf:Person
Karl Franz Gottlieb Köhler	Köhler, Karl Franz Gottlieb (1764-1833)	http://data.bnf.fr/ark:/12148/cb14529753p#foaf:Person
Köhler	Köhler, Karl Franz Gottlieb (1764-1833)	http://data.bnf.fr/ark:/12148/cb14529753p#foaf:Person
K F G Köhler	Köhler, Karl Franz Gottlieb (1764-1833)	http://data.bnf.fr/ark:/12148/cb14529753p#foaf:Person
K. F. G. Köhler	Köhler, Karl Franz Gottlieb (1764-1833)	http://data.bnf.fr/ark:/12148/cb14529753p#foaf:Person
M Köhler	Köhler, Karl Franz Gottlieb (1764-1833)	http://data.bnf.fr/ark:/12148/cb14529753p#foaf:Person
M Karl Franz Gottlieb Köhler	Köhler, Karl Franz Gottlieb (1764-1833)	http://data.bnf.fr/ark:/12148/cb14529753p#foaf:Person
M. Köhler	Köhler, Karl Franz Gottlieb (1764-1833)	http://data.bnf.fr/ark:/12148/cb14529753p#foaf:Person
M. Karl Franz Gottlieb Köhler	Köhler, Karl Franz Gottlieb (1764-1833)	http://data.bnf.fr/ark:/12148/cb14529753p#foaf:Person
Aleksandar Đ. Kostić	Kostić, Aleksandar Đ. (1893-1983)	http://data.bnf.fr/ark:/12148/cb12671927p#foaf:Person	http://www.idref.fr/091294215
Kostić	Kostić, Aleksandar Đ. (1893-1983)	http://data.bnf.fr/ark:/12148/cb12671927p#foaf:Person	http://www.idref.fr/091294215
A Đ Kostić	Kostić, Aleksandar Đ. (1893-1983)	http://data.bnf.fr/ark:/12148/cb12671927p#foaf:Person	http://www.idref.fr/091294215
A. Đ. Kostić	Kostić, Aleksandar Đ. (1893-1983)	http://data.bnf.fr/ark:/12148/cb12671927p#foaf:Person	http://www.idref.fr/091294215
M Kostić	Kostić, Aleksandar Đ. (1893-1983)	http://data.bnf.fr/ark:/12148/cb12671927p#foaf:Person	http://www.idref.fr/091294215
M Aleksandar Đ. Kostić	Kostić, Aleksandar Đ. (1893-1983)	http://data.bnf.fr/ark:/12148/cb12671927p#foaf:Person	http://www.idref.fr/091294215
M. Kostić	Kostić, Aleksandar Đ. (1893-1983)	http://data.bnf.fr/ark:/12148/cb12671927p#foaf:Person	http://www.idref.fr/091294215
M. Aleksandar Đ. Kostić	Kostić, Aleksandar Đ. (1893-1983)	http://data.bnf.fr/ark:/12148/cb12671927p#foaf:Person	http://www.idref.fr/091294215
Daniel Henry Kahnweiler	Kahnweiler, Daniel Henry (1884-1979)	http://data.bnf.fr/ark:/12148/cb11909326j#foaf:Person	http://dbpedia.org/resource/Daniel-Henry_Kahnweiler	http://www.idref.fr/02694426X
Kahnweiler	Kahnweiler, Daniel Henry (1884-1979)	http://data.bnf.fr/ark:/12148/cb11909326j#foaf:Person	http://dbpedia.org/resource/Daniel-Henry_Kahnweiler	http://www.idref.fr/02694426X
D H Kahnweiler	Kahnweiler, Daniel Henry (1884-1979)	http://data.bnf.fr/ark:/12148/cb11909326j#foaf:Person	http://dbpedia.org/resource/Daniel-Henry_Kahnweiler	http://www.idref.fr/02694426X
D. H. Kahnweiler	Kahnweiler, Daniel Henry (1884-1979)	http://data.bnf.fr/ark:/12148/cb11909326j#foaf:Person	http://dbpedia.org/resource/Daniel-Henry_Kahnweiler	http://www.idref.fr/02694426X
M Kahnweiler	Kahnweiler, Daniel Henry (1884-1979)	http://data.bnf.fr/ark:/12148/cb11909326j#foaf:Person	http://dbpedia.org/resource/Daniel-Henry_Kahnweiler	http://www.idref.fr/02694426X
M Daniel Henry Kahnweiler	Kahnweiler, Daniel Henry (1884-1979)	http://data.bnf.fr/ark:/12148/cb11909326j#foaf:Person	http://dbpedia.org/resource/Daniel-Henry_Kahnweiler	http://www.idref.fr/02694426X
M. Kahnweiler	Kahnweiler, Daniel Henry (1884-1979)	http://data.bnf.fr/ark:/12148/cb11909326j#foaf:Person	http://dbpedia.org/resource/Daniel-Henry_Kahnweiler	http://www.idref.fr/02694426X
M. Daniel Henry Kahnweiler	Kahnweiler, Daniel Henry (1884-1979)	http://data.bnf.fr/ark:/12148/cb11909326j#foaf:Person	http://dbpedia.org/resource/Daniel-Henry_Kahnweiler	http://www.idref.fr/02694426X
Cyrus Refrigeratorius	Kuhlmann, Quirinus (1651-1689)	http://data.bnf.fr/ark:/12148/cb123270300#foaf:Person	http://www.idref.fr/032192010
Quirinus Kuhlmann	Kuhlmann, Quirinus (1651-1689)	http://data.bnf.fr/ark:/12148/cb123270300#foaf:Person	http://www.idref.fr/032192010
Kuhlmann	Kuhlmann, Quirinus (1651-1689)	http://data.bnf.fr/ark:/12148/cb123270300#foaf:Person	http://www.idref.fr/032192010
Q Kuhlmann	Kuhlmann, Quirinus (1651-1689)	http://data.bnf.fr/ark:/12148/cb123270300#foaf:Person	http://www.idref.fr/032192010
Q. Kuhlmann	Kuhlmann, Quirinus (1651-1689)	http://data.bnf.fr/ark:/12148/cb123270300#foaf:Person	http://www.idref.fr/032192010
M Kuhlmann	Kuhlmann, Quirinus (1651-1689)	http://data.bnf.fr/ark:/12148/cb123270300#foaf:Person	http://www.idref.fr/032192010
M Quirinus Kuhlmann	Kuhlmann, Quirinus (1651-1689)	http://data.bnf.fr/ark:/12148/cb123270300#foaf:Person	http://www.idref.fr/032192010
M. Kuhlmann	Kuhlmann, Quirinus (1651-1689)	http://data.bnf.fr/ark:/12148/cb123270300#foaf:Person	http://www.idref.fr/032192010
M. Quirinus Kuhlmann	Kuhlmann, Quirinus (1651-1689)	http://data.bnf.fr/ark:/12148/cb123270300#foaf:Person	http://www.idref.fr/032192010
Quirinus Culmannus	Kuhlmann, Quirinus (1651-1689)	http://data.bnf.fr/ark:/12148/cb123270300#foaf:Person	http://www.idref.fr/032192010
Quirinus Kuhlman	Kuhlmann, Quirinus (1651-1689)	http://data.bnf.fr/ark:/12148/cb123270300#foaf:Person	http://www.idref.fr/032192010
Quirinus Kühlmann	Kuhlmann, Quirinus (1651-1689)	http://data.bnf.fr/ark:/12148/cb123270300#foaf:Person	http://www.idref.fr/032192010
Ian Keith	Keith, Ian (1899-1960)	http://data.bnf.fr/ark:/12148/cb14192816t#foaf:Person	http://dbpedia.org/resource/Ian_Keith	http://www.idref.fr/119837080
Keith	Keith, Ian (1899-1960)	http://data.bnf.fr/ark:/12148/cb14192816t#foaf:Person	http://dbpedia.org/resource/Ian_Keith	http://www.idref.fr/119837080
I Keith	Keith, Ian (1899-1960)	http://data.bnf.fr/ark:/12148/cb14192816t#foaf:Person	http://dbpedia.org/resource/Ian_Keith	http://www.idref.fr/119837080
I. Keith	Keith, Ian (1899-1960)	http://data.bnf.fr/ark:/12148/cb14192816t#foaf:Person	http://dbpedia.org/resource/Ian_Keith	http://www.idref.fr/119837080
M Keith	Keith, Ian (1899-1960)	http://data.bnf.fr/ark:/12148/cb14192816t#foaf:Person	http://dbpedia.org/resource/Ian_Keith	http://www.idref.fr/119837080
M Ian Keith	Keith, Ian (1899-1960)	http://data.bnf.fr/ark:/12148/cb14192816t#foaf:Person	http://dbpedia.org/resource/Ian_Keith	http://www.idref.fr/119837080
M. Keith	Keith, Ian (1899-1960)	http://data.bnf.fr/ark:/12148/cb14192816t#foaf:Person	http://dbpedia.org/resource/Ian_Keith	http://www.idref.fr/119837080
M. Ian Keith	Keith, Ian (1899-1960)	http://data.bnf.fr/ark:/12148/cb14192816t#foaf:Person	http://dbpedia.org/resource/Ian_Keith	http://www.idref.fr/119837080
Mary Kalb	Kalb, Mary (1854-1930)	http://data.bnf.fr/ark:/12148/cb14991163j#foaf:Person
Kalb	Kalb, Mary (1854-1930)	http://data.bnf.fr/ark:/12148/cb14991163j#foaf:Person
M Kalb	Kalb, Mary (1854-1930)	http://data.bnf.fr/ark:/12148/cb14991163j#foaf:Person
M. Kalb	Kalb, Mary (1854-1930)	http://data.bnf.fr/ark:/12148/cb14991163j#foaf:Person
Mme Kalb	Kalb, Mary (1854-1930)	http://data.bnf.fr/ark:/12148/cb14991163j#foaf:Person
Mme Mary Kalb	Kalb, Mary (1854-1930)	http://data.bnf.fr/ark:/12148/cb14991163j#foaf:Person
Mme. Kalb	Kalb, Mary (1854-1930)	http://data.bnf.fr/ark:/12148/cb14991163j#foaf:Person
Mme. Mary Kalb	Kalb, Mary (1854-1930)	http://data.bnf.fr/ark:/12148/cb14991163j#foaf:Person
Richard Köbner	Koebner, Richard (1885-1958)	http://data.bnf.fr/ark:/12148/cb12183369s#foaf:Person	http://www.idref.fr/030415691
Richard Koebner	Koebner, Richard (1885-1958)	http://data.bnf.fr/ark:/12148/cb12183369s#foaf:Person	http://www.idref.fr/030415691
Koebner	Koebner, Richard (1885-1958)	http://data.bnf.fr/ark:/12148/cb12183369s#foaf:Person	http://www.idref.fr/030415691
R Koebner	Koebner, Richard (1885-1958)	http://data.bnf.fr/ark:/12148/cb12183369s#foaf:Person	http://www.idref.fr/030415691
R. Koebner	Koebner, Richard (1885-1958)	http://data.bnf.fr/ark:/12148/cb12183369s#foaf:Person	http://www.idref.fr/030415691
M Koebner	Koebner, Richard (1885-1958)	http://data.bnf.fr/ark:/12148/cb12183369s#foaf:Person	http://www.idref.fr/030415691
M Richard Koebner	Koebner, Richard (1885-1958)	http://data.bnf.fr/ark:/12148/cb12183369s#foaf:Person	http://www.idref.fr/030415691
M. Koebner	Koebner, Richard (1885-1958)	http://data.bnf.fr/ark:/12148/cb12183369s#foaf:Person	http://www.idref.fr/030415691
M. Richard Koebner	Koebner, Richard (1885-1958)	http://data.bnf.fr/ark:/12148/cb12183369s#foaf:Person	http://www.idref.fr/030415691
Maxim Karolik	Karolik, Maxim (1893-1963)	http://data.bnf.fr/ark:/12148/cb15032374b#foaf:Person
Karolik	Karolik, Maxim (1893-1963)	http://data.bnf.fr/ark:/12148/cb15032374b#foaf:Person
M Karolik	Karolik, Maxim (1893-1963)	http://data.bnf.fr/ark:/12148/cb15032374b#foaf:Person
M. Karolik	Karolik, Maxim (1893-1963)	http://data.bnf.fr/ark:/12148/cb15032374b#foaf:Person
M Karolik	Karolik, Maxim (1893-1963)	http://data.bnf.fr/ark:/12148/cb15032374b#foaf:Person
M Maxim Karolik	Karolik, Maxim (1893-1963)	http://data.bnf.fr/ark:/12148/cb15032374b#foaf:Person
M. Karolik	Karolik, Maxim (1893-1963)	http://data.bnf.fr/ark:/12148/cb15032374b#foaf:Person
M. Maxim Karolik	Karolik, Maxim (1893-1963)	http://data.bnf.fr/ark:/12148/cb15032374b#foaf:Person
Balthasarus Künnius	Kühn, Balthasar (1615-1667)	http://data.bnf.fr/ark:/12148/cb12443701z#foaf:Person	http://www.idref.fr/033584850
Balthasar Kühn	Kühn, Balthasar (1615-1667)	http://data.bnf.fr/ark:/12148/cb12443701z#foaf:Person	http://www.idref.fr/033584850
Kühn	Kühn, Balthasar (1615-1667)	http://data.bnf.fr/ark:/12148/cb12443701z#foaf:Person	http://www.idref.fr/033584850
B Kühn	Kühn, Balthasar (1615-1667)	http://data.bnf.fr/ark:/12148/cb12443701z#foaf:Person	http://www.idref.fr/033584850
B. Kühn	Kühn, Balthasar (1615-1667)	http://data.bnf.fr/ark:/12148/cb12443701z#foaf:Person	http://www.idref.fr/033584850
M Kühn	Kühn, Balthasar (1615-1667)	http://data.bnf.fr/ark:/12148/cb12443701z#foaf:Person	http://www.idref.fr/033584850
M Balthasar Kühn	Kühn, Balthasar (1615-1667)	http://data.bnf.fr/ark:/12148/cb12443701z#foaf:Person	http://www.idref.fr/033584850
M. Kühn	Kühn, Balthasar (1615-1667)	http://data.bnf.fr/ark:/12148/cb12443701z#foaf:Person	http://www.idref.fr/033584850
M. Balthasar Kühn	Kühn, Balthasar (1615-1667)	http://data.bnf.fr/ark:/12148/cb12443701z#foaf:Person	http://www.idref.fr/033584850
Balthasar Kühnen	Kühn, Balthasar (1615-1667)	http://data.bnf.fr/ark:/12148/cb12443701z#foaf:Person	http://www.idref.fr/033584850
Balthasarus Cunaeus	Kühn, Balthasar (1615-1667)	http://data.bnf.fr/ark:/12148/cb12443701z#foaf:Person	http://www.idref.fr/033584850
Charles Küss	Küss, Charles (1857-1940)	http://data.bnf.fr/ark:/12148/cb166679729#foaf:Person	http://www.idref.fr/167835920
Küss	Küss, Charles (1857-1940)	http://data.bnf.fr/ark:/12148/cb166679729#foaf:Person	http://www.idref.fr/167835920
C Küss	Küss, Charles (1857-1940)	http://data.bnf.fr/ark:/12148/cb166679729#foaf:Person	http://www.idref.fr/167835920
C. Küss	Küss, Charles (1857-1940)	http://data.bnf.fr/ark:/12148/cb166679729#foaf:Person	http://www.idref.fr/167835920
M Küss	Küss, Charles (1857-1940)	http://data.bnf.fr/ark:/12148/cb166679729#foaf:Person	http://www.idref.fr/167835920
M Charles Küss	Küss, Charles (1857-1940)	http://data.bnf.fr/ark:/12148/cb166679729#foaf:Person	http://www.idref.fr/167835920
M. Küss	Küss, Charles (1857-1940)	http://data.bnf.fr/ark:/12148/cb166679729#foaf:Person	http://www.idref.fr/167835920
M. Charles Küss	Küss, Charles (1857-1940)	http://data.bnf.fr/ark:/12148/cb166679729#foaf:Person	http://www.idref.fr/167835920
Gustavus Krüger	Krüger, Gustav (1862-1940)	http://data.bnf.fr/ark:/12148/cb14437321h#foaf:Person	http://www.idref.fr/069402655
Gustav Krüger	Krüger, Gustav (1862-1940)	http://data.bnf.fr/ark:/12148/cb14437321h#foaf:Person	http://www.idref.fr/069402655
Krüger	Krüger, Gustav (1862-1940)	http://data.bnf.fr/ark:/12148/cb14437321h#foaf:Person	http://www.idref.fr/069402655
G Krüger	Krüger, Gustav (1862-1940)	http://data.bnf.fr/ark:/12148/cb14437321h#foaf:Person	http://www.idref.fr/069402655
G. Krüger	Krüger, Gustav (1862-1940)	http://data.bnf.fr/ark:/12148/cb14437321h#foaf:Person	http://www.idref.fr/069402655
M Krüger	Krüger, Gustav (1862-1940)	http://data.bnf.fr/ark:/12148/cb14437321h#foaf:Person	http://www.idref.fr/069402655
M Gustav Krüger	Krüger, Gustav (1862-1940)	http://data.bnf.fr/ark:/12148/cb14437321h#foaf:Person	http://www.idref.fr/069402655
M. Krüger	Krüger, Gustav (1862-1940)	http://data.bnf.fr/ark:/12148/cb14437321h#foaf:Person	http://www.idref.fr/069402655
M. Gustav Krüger	Krüger, Gustav (1862-1940)	http://data.bnf.fr/ark:/12148/cb14437321h#foaf:Person	http://www.idref.fr/069402655
Gustavus Krueger	Krüger, Gustav (1862-1940)	http://data.bnf.fr/ark:/12148/cb14437321h#foaf:Person	http://www.idref.fr/069402655
Johannes Gustav Krüger	Krüger, Gustav (1862-1940)	http://data.bnf.fr/ark:/12148/cb14437321h#foaf:Person	http://www.idref.fr/069402655
György Klösz	Klösz, György (1844-1913)	http://data.bnf.fr/ark:/12148/cb15376633w#foaf:Person
Klösz	Klösz, György (1844-1913)	http://data.bnf.fr/ark:/12148/cb15376633w#foaf:Person
G Klösz	Klösz, György (1844-1913)	http://data.bnf.fr/ark:/12148/cb15376633w#foaf:Person
G. Klösz	Klösz, György (1844-1913)	http://data.bnf.fr/ark:/12148/cb15376633w#foaf:Person
M Klösz	Klösz, György (1844-1913)	http://data.bnf.fr/ark:/12148/cb15376633w#foaf:Person
M György Klösz	Klösz, György (1844-1913)	http://data.bnf.fr/ark:/12148/cb15376633w#foaf:Person
M. Klösz	Klösz, György (1844-1913)	http://data.bnf.fr/ark:/12148/cb15376633w#foaf:Person
