William Harrison Woodward	Woodward, William Harrison (1856-1941)	http://data.bnf.fr/ark:/12148/cb16761475p#foaf:Person	http://www.idref.fr/133850870
L Wolzogen	Wolzogen, Ludwig von (1773-1845)	http://data.bnf.fr/ark:/12148/cb144701035#foaf:Person	http://www.idref.fr/070741115
L. Wolzogen	Wolzogen, Ludwig von (1773-1845)	http://data.bnf.fr/ark:/12148/cb144701035#foaf:Person	http://www.idref.fr/070741115
L von Wolzogen	Wolzogen, Ludwig von (1773-1845)	http://data.bnf.fr/ark:/12148/cb144701035#foaf:Person	http://www.idref.fr/070741115
L Von Wolzogen	Wolzogen, Ludwig von (1773-1845)	http://data.bnf.fr/ark:/12148/cb144701035#foaf:Person	http://www.idref.fr/070741115
L. Von Wolzogen	Wolzogen, Ludwig von (1773-1845)	http://data.bnf.fr/ark:/12148/cb144701035#foaf:Person	http://www.idref.fr/070741115
L. von Wolzogen	Wolzogen, Ludwig von (1773-1845)	http://data.bnf.fr/ark:/12148/cb144701035#foaf:Person	http://www.idref.fr/070741115
M von Wolzogen	Wolzogen, Ludwig von (1773-1845)	http://data.bnf.fr/ark:/12148/cb144701035#foaf:Person	http://www.idref.fr/070741115
M Wolzogen	Wolzogen, Ludwig von (1773-1845)	http://data.bnf.fr/ark:/12148/cb144701035#foaf:Person	http://www.idref.fr/070741115
M Wolzogen	Wolzogen, Ludwig von (1773-1845)	http://data.bnf.fr/ark:/12148/cb144701035#foaf:Person	http://www.idref.fr/070741115
M Ludwig von Wolzogen	Wolzogen, Ludwig von (1773-1845)	http://data.bnf.fr/ark:/12148/cb144701035#foaf:Person	http://www.idref.fr/070741115
M. Wolzogen	Wolzogen, Ludwig von (1773-1845)	http://data.bnf.fr/ark:/12148/cb144701035#foaf:Person	http://www.idref.fr/070741115
M. Ludwig von Wolzogen	Wolzogen, Ludwig von (1773-1845)	http://data.bnf.fr/ark:/12148/cb144701035#foaf:Person	http://www.idref.fr/070741115
James Waldegrave Waldegrave	Waldegrave, James Waldegrave (1684-1741)	http://data.bnf.fr/ark:/12148/cb14469433w#foaf:Person	http://www.idref.fr/077867335
Waldegrave	Waldegrave, James Waldegrave (1684-1741)	http://data.bnf.fr/ark:/12148/cb14469433w#foaf:Person	http://www.idref.fr/077867335
J W Waldegrave	Waldegrave, James Waldegrave (1684-1741)	http://data.bnf.fr/ark:/12148/cb14469433w#foaf:Person	http://www.idref.fr/077867335
J. W. Waldegrave	Waldegrave, James Waldegrave (1684-1741)	http://data.bnf.fr/ark:/12148/cb14469433w#foaf:Person	http://www.idref.fr/077867335
M Waldegrave	Waldegrave, James Waldegrave (1684-1741)	http://data.bnf.fr/ark:/12148/cb14469433w#foaf:Person	http://www.idref.fr/077867335
M James Waldegrave Waldegrave	Waldegrave, James Waldegrave (1684-1741)	http://data.bnf.fr/ark:/12148/cb14469433w#foaf:Person	http://www.idref.fr/077867335
M. Waldegrave	Waldegrave, James Waldegrave (1684-1741)	http://data.bnf.fr/ark:/12148/cb14469433w#foaf:Person	http://www.idref.fr/077867335
M. James Waldegrave Waldegrave	Waldegrave, James Waldegrave (1684-1741)	http://data.bnf.fr/ark:/12148/cb14469433w#foaf:Person	http://www.idref.fr/077867335
Ed Wynn	Wynn, Ed (1886-1966)	http://data.bnf.fr/ark:/12148/cb14045622q#foaf:Person	http://dbpedia.org/resource/Ed_Wynn	http://www.idref.fr/099027828
Wynn	Wynn, Ed (1886-1966)	http://data.bnf.fr/ark:/12148/cb14045622q#foaf:Person	http://dbpedia.org/resource/Ed_Wynn	http://www.idref.fr/099027828
E Wynn	Wynn, Ed (1886-1966)	http://data.bnf.fr/ark:/12148/cb14045622q#foaf:Person	http://dbpedia.org/resource/Ed_Wynn	http://www.idref.fr/099027828
E. Wynn	Wynn, Ed (1886-1966)	http://data.bnf.fr/ark:/12148/cb14045622q#foaf:Person	http://dbpedia.org/resource/Ed_Wynn	http://www.idref.fr/099027828
M Wynn	Wynn, Ed (1886-1966)	http://data.bnf.fr/ark:/12148/cb14045622q#foaf:Person	http://dbpedia.org/resource/Ed_Wynn	http://www.idref.fr/099027828
M Ed Wynn	Wynn, Ed (1886-1966)	http://data.bnf.fr/ark:/12148/cb14045622q#foaf:Person	http://dbpedia.org/resource/Ed_Wynn	http://www.idref.fr/099027828
M. Wynn	Wynn, Ed (1886-1966)	http://data.bnf.fr/ark:/12148/cb14045622q#foaf:Person	http://dbpedia.org/resource/Ed_Wynn	http://www.idref.fr/099027828
M. Ed Wynn	Wynn, Ed (1886-1966)	http://data.bnf.fr/ark:/12148/cb14045622q#foaf:Person	http://dbpedia.org/resource/Ed_Wynn	http://www.idref.fr/099027828
Ernst von Weizsaecker	Weizsäcker, Ernst von (1882-1951)	http://data.bnf.fr/ark:/12148/cb16155470p#foaf:Person	http://dbpedia.org/resource/Ernst_von_Weizsäcker
Ernst von Weizsäcker	Weizsäcker, Ernst von (1882-1951)	http://data.bnf.fr/ark:/12148/cb16155470p#foaf:Person	http://dbpedia.org/resource/Ernst_von_Weizsäcker
Weizsäcker	Weizsäcker, Ernst von (1882-1951)	http://data.bnf.fr/ark:/12148/cb16155470p#foaf:Person	http://dbpedia.org/resource/Ernst_von_Weizsäcker
von Weizsäcker	Weizsäcker, Ernst von (1882-1951)	http://data.bnf.fr/ark:/12148/cb16155470p#foaf:Person	http://dbpedia.org/resource/Ernst_von_Weizsäcker
Von Weizsäcker	Weizsäcker, Ernst von (1882-1951)	http://data.bnf.fr/ark:/12148/cb16155470p#foaf:Person	http://dbpedia.org/resource/Ernst_von_Weizsäcker
E Weizsäcker	Weizsäcker, Ernst von (1882-1951)	http://data.bnf.fr/ark:/12148/cb16155470p#foaf:Person	http://dbpedia.org/resource/Ernst_von_Weizsäcker
E. Weizsäcker	Weizsäcker, Ernst von (1882-1951)	http://data.bnf.fr/ark:/12148/cb16155470p#foaf:Person	http://dbpedia.org/resource/Ernst_von_Weizsäcker
E von Weizsäcker	Weizsäcker, Ernst von (1882-1951)	http://data.bnf.fr/ark:/12148/cb16155470p#foaf:Person	http://dbpedia.org/resource/Ernst_von_Weizsäcker
E Von Weizsäcker	Weizsäcker, Ernst von (1882-1951)	http://data.bnf.fr/ark:/12148/cb16155470p#foaf:Person	http://dbpedia.org/resource/Ernst_von_Weizsäcker
E. Von Weizsäcker	Weizsäcker, Ernst von (1882-1951)	http://data.bnf.fr/ark:/12148/cb16155470p#foaf:Person	http://dbpedia.org/resource/Ernst_von_Weizsäcker
E. von Weizsäcker	Weizsäcker, Ernst von (1882-1951)	http://data.bnf.fr/ark:/12148/cb16155470p#foaf:Person	http://dbpedia.org/resource/Ernst_von_Weizsäcker
M von Weizsäcker	Weizsäcker, Ernst von (1882-1951)	http://data.bnf.fr/ark:/12148/cb16155470p#foaf:Person	http://dbpedia.org/resource/Ernst_von_Weizsäcker
M Weizsäcker	Weizsäcker, Ernst von (1882-1951)	http://data.bnf.fr/ark:/12148/cb16155470p#foaf:Person	http://dbpedia.org/resource/Ernst_von_Weizsäcker
M Weizsäcker	Weizsäcker, Ernst von (1882-1951)	http://data.bnf.fr/ark:/12148/cb16155470p#foaf:Person	http://dbpedia.org/resource/Ernst_von_Weizsäcker
M Ernst von Weizsäcker	Weizsäcker, Ernst von (1882-1951)	http://data.bnf.fr/ark:/12148/cb16155470p#foaf:Person	http://dbpedia.org/resource/Ernst_von_Weizsäcker
M. Weizsäcker	Weizsäcker, Ernst von (1882-1951)	http://data.bnf.fr/ark:/12148/cb16155470p#foaf:Person	http://dbpedia.org/resource/Ernst_von_Weizsäcker
M. Ernst von Weizsäcker	Weizsäcker, Ernst von (1882-1951)	http://data.bnf.fr/ark:/12148/cb16155470p#foaf:Person	http://dbpedia.org/resource/Ernst_von_Weizsäcker
Samuel David Wooding	Wooding, Sam (1895-1985)	http://data.bnf.fr/ark:/12148/cb139225848#foaf:Person
Sam Wooding	Wooding, Sam (1895-1985)	http://data.bnf.fr/ark:/12148/cb139225848#foaf:Person
Wooding	Wooding, Sam (1895-1985)	http://data.bnf.fr/ark:/12148/cb139225848#foaf:Person
S Wooding	Wooding, Sam (1895-1985)	http://data.bnf.fr/ark:/12148/cb139225848#foaf:Person
S. Wooding	Wooding, Sam (1895-1985)	http://data.bnf.fr/ark:/12148/cb139225848#foaf:Person
M Wooding	Wooding, Sam (1895-1985)	http://data.bnf.fr/ark:/12148/cb139225848#foaf:Person
M Sam Wooding	Wooding, Sam (1895-1985)	http://data.bnf.fr/ark:/12148/cb139225848#foaf:Person
M. Wooding	Wooding, Sam (1895-1985)	http://data.bnf.fr/ark:/12148/cb139225848#foaf:Person
M. Sam Wooding	Wooding, Sam (1895-1985)	http://data.bnf.fr/ark:/12148/cb139225848#foaf:Person
Leopold Weninger	Weninger, Leopold (1879-1940)	http://data.bnf.fr/ark:/12148/cb14841171z#foaf:Person
Weninger	Weninger, Leopold (1879-1940)	http://data.bnf.fr/ark:/12148/cb14841171z#foaf:Person
L Weninger	Weninger, Leopold (1879-1940)	http://data.bnf.fr/ark:/12148/cb14841171z#foaf:Person
L. Weninger	Weninger, Leopold (1879-1940)	http://data.bnf.fr/ark:/12148/cb14841171z#foaf:Person
M Weninger	Weninger, Leopold (1879-1940)	http://data.bnf.fr/ark:/12148/cb14841171z#foaf:Person
M Leopold Weninger	Weninger, Leopold (1879-1940)	http://data.bnf.fr/ark:/12148/cb14841171z#foaf:Person
M. Weninger	Weninger, Leopold (1879-1940)	http://data.bnf.fr/ark:/12148/cb14841171z#foaf:Person
M. Leopold Weninger	Weninger, Leopold (1879-1940)	http://data.bnf.fr/ark:/12148/cb14841171z#foaf:Person
Raphael Lamar West	West, Raphael Lamar (1769-1850)	http://data.bnf.fr/ark:/12148/cb133284089#foaf:Person
West	West, Raphael Lamar (1769-1850)	http://data.bnf.fr/ark:/12148/cb133284089#foaf:Person
R L West	West, Raphael Lamar (1769-1850)	http://data.bnf.fr/ark:/12148/cb133284089#foaf:Person
R. L. West	West, Raphael Lamar (1769-1850)	http://data.bnf.fr/ark:/12148/cb133284089#foaf:Person
M West	West, Raphael Lamar (1769-1850)	http://data.bnf.fr/ark:/12148/cb133284089#foaf:Person
M Raphael Lamar West	West, Raphael Lamar (1769-1850)	http://data.bnf.fr/ark:/12148/cb133284089#foaf:Person
M. West	West, Raphael Lamar (1769-1850)	http://data.bnf.fr/ark:/12148/cb133284089#foaf:Person
M. Raphael Lamar West	West, Raphael Lamar (1769-1850)	http://data.bnf.fr/ark:/12148/cb133284089#foaf:Person
Siegfried Wagner	Wagner, Siegfried (1874-1952)	http://data.bnf.fr/ark:/12148/cb15548762z#foaf:Person
Wagner	Wagner, Siegfried (1874-1952)	http://data.bnf.fr/ark:/12148/cb15548762z#foaf:Person
S Wagner	Wagner, Siegfried (1874-1952)	http://data.bnf.fr/ark:/12148/cb15548762z#foaf:Person
S. Wagner	Wagner, Siegfried (1874-1952)	http://data.bnf.fr/ark:/12148/cb15548762z#foaf:Person
M Wagner	Wagner, Siegfried (1874-1952)	http://data.bnf.fr/ark:/12148/cb15548762z#foaf:Person
M Siegfried Wagner	Wagner, Siegfried (1874-1952)	http://data.bnf.fr/ark:/12148/cb15548762z#foaf:Person
M. Wagner	Wagner, Siegfried (1874-1952)	http://data.bnf.fr/ark:/12148/cb15548762z#foaf:Person
M. Siegfried Wagner	Wagner, Siegfried (1874-1952)	http://data.bnf.fr/ark:/12148/cb15548762z#foaf:Person
Whitney Warren	Warren, Whitney (1864-1943)	http://data.bnf.fr/ark:/12148/cb148498845#foaf:Person	http://www.idref.fr/095011099
Warren	Warren, Whitney (1864-1943)	http://data.bnf.fr/ark:/12148/cb148498845#foaf:Person	http://www.idref.fr/095011099
W Warren	Warren, Whitney (1864-1943)	http://data.bnf.fr/ark:/12148/cb148498845#foaf:Person	http://www.idref.fr/095011099
W. Warren	Warren, Whitney (1864-1943)	http://data.bnf.fr/ark:/12148/cb148498845#foaf:Person	http://www.idref.fr/095011099
M Warren	Warren, Whitney (1864-1943)	http://data.bnf.fr/ark:/12148/cb148498845#foaf:Person	http://www.idref.fr/095011099
M Whitney Warren	Warren, Whitney (1864-1943)	http://data.bnf.fr/ark:/12148/cb148498845#foaf:Person	http://www.idref.fr/095011099
M. Warren	Warren, Whitney (1864-1943)	http://data.bnf.fr/ark:/12148/cb148498845#foaf:Person	http://www.idref.fr/095011099
M. Whitney Warren	Warren, Whitney (1864-1943)	http://data.bnf.fr/ark:/12148/cb148498845#foaf:Person	http://www.idref.fr/095011099
William Beaufils	Will, (1899-1996)	http://data.bnf.fr/ark:/12148/cb12341612p#foaf:Person	http://www.idref.fr/032374097
 Will	Will, (1899-1996)	http://data.bnf.fr/ark:/12148/cb12341612p#foaf:Person	http://www.idref.fr/032374097
Will	Will, (1899-1996)	http://data.bnf.fr/ark:/12148/cb12341612p#foaf:Person	http://www.idref.fr/032374097
 Will	Will, (1899-1996)	http://data.bnf.fr/ark:/12148/cb12341612p#foaf:Person	http://www.idref.fr/032374097
. Will	Will, (1899-1996)	http://data.bnf.fr/ark:/12148/cb12341612p#foaf:Person	http://www.idref.fr/032374097
M Will	Will, (1899-1996)	http://data.bnf.fr/ark:/12148/cb12341612p#foaf:Person	http://www.idref.fr/032374097
M  Will	Will, (1899-1996)	http://data.bnf.fr/ark:/12148/cb12341612p#foaf:Person	http://www.idref.fr/032374097
M. Will	Will, (1899-1996)	http://data.bnf.fr/ark:/12148/cb12341612p#foaf:Person	http://www.idref.fr/032374097
M.  Will	Will, (1899-1996)	http://data.bnf.fr/ark:/12148/cb12341612p#foaf:Person	http://www.idref.fr/032374097
Werner Wittich	Wittich, Werner (1866-1937)	http://data.bnf.fr/ark:/12148/cb12118101c#foaf:Person	http://www.idref.fr/067034772
Wittich	Wittich, Werner (1866-1937)	http://data.bnf.fr/ark:/12148/cb12118101c#foaf:Person	http://www.idref.fr/067034772
W Wittich	Wittich, Werner (1866-1937)	http://data.bnf.fr/ark:/12148/cb12118101c#foaf:Person	http://www.idref.fr/067034772
W. Wittich	Wittich, Werner (1866-1937)	http://data.bnf.fr/ark:/12148/cb12118101c#foaf:Person	http://www.idref.fr/067034772
M Wittich	Wittich, Werner (1866-1937)	http://data.bnf.fr/ark:/12148/cb12118101c#foaf:Person	http://www.idref.fr/067034772
M Werner Wittich	Wittich, Werner (1866-1937)	http://data.bnf.fr/ark:/12148/cb12118101c#foaf:Person	http://www.idref.fr/067034772
M. Wittich	Wittich, Werner (1866-1937)	http://data.bnf.fr/ark:/12148/cb12118101c#foaf:Person	http://www.idref.fr/067034772
M. Werner Wittich	Wittich, Werner (1866-1937)	http://data.bnf.fr/ark:/12148/cb12118101c#foaf:Person	http://www.idref.fr/067034772
Georg Wedekind	Wedekind, Georg (1761-1831)	http://data.bnf.fr/ark:/12148/cb121733118#foaf:Person	http://www.idref.fr/030284325
Wedekind	Wedekind, Georg (1761-1831)	http://data.bnf.fr/ark:/12148/cb121733118#foaf:Person	http://www.idref.fr/030284325
G Wedekind	Wedekind, Georg (1761-1831)	http://data.bnf.fr/ark:/12148/cb121733118#foaf:Person	http://www.idref.fr/030284325
G. Wedekind	Wedekind, Georg (1761-1831)	http://data.bnf.fr/ark:/12148/cb121733118#foaf:Person	http://www.idref.fr/030284325
M Wedekind	Wedekind, Georg (1761-1831)	http://data.bnf.fr/ark:/12148/cb121733118#foaf:Person	http://www.idref.fr/030284325
M Georg Wedekind	Wedekind, Georg (1761-1831)	http://data.bnf.fr/ark:/12148/cb121733118#foaf:Person	http://www.idref.fr/030284325
M. Wedekind	Wedekind, Georg (1761-1831)	http://data.bnf.fr/ark:/12148/cb121733118#foaf:Person	http://www.idref.fr/030284325
M. Georg Wedekind	Wedekind, Georg (1761-1831)	http://data.bnf.fr/ark:/12148/cb121733118#foaf:Person	http://www.idref.fr/030284325
Robert Gordon Wasson	Wasson, Robert Gordon (1898-1986)	http://data.bnf.fr/ark:/12148/cb12154664h#foaf:Person	http://dbpedia.org/resource/Robert_Gordon_Wasson	http://www.idref.fr/030052041
Wasson	Wasson, Robert Gordon (1898-1986)	http://data.bnf.fr/ark:/12148/cb12154664h#foaf:Person	http://dbpedia.org/resource/Robert_Gordon_Wasson	http://www.idref.fr/030052041
R G Wasson	Wasson, Robert Gordon (1898-1986)	http://data.bnf.fr/ark:/12148/cb12154664h#foaf:Person	http://dbpedia.org/resource/Robert_Gordon_Wasson	http://www.idref.fr/030052041
R. G. Wasson	Wasson, Robert Gordon (1898-1986)	http://data.bnf.fr/ark:/12148/cb12154664h#foaf:Person	http://dbpedia.org/resource/Robert_Gordon_Wasson	http://www.idref.fr/030052041
M Wasson	Wasson, Robert Gordon (1898-1986)	http://data.bnf.fr/ark:/12148/cb12154664h#foaf:Person	http://dbpedia.org/resource/Robert_Gordon_Wasson	http://www.idref.fr/030052041
M Robert Gordon Wasson	Wasson, Robert Gordon (1898-1986)	http://data.bnf.fr/ark:/12148/cb12154664h#foaf:Person	http://dbpedia.org/resource/Robert_Gordon_Wasson	http://www.idref.fr/030052041
M. Wasson	Wasson, Robert Gordon (1898-1986)	http://data.bnf.fr/ark:/12148/cb12154664h#foaf:Person	http://dbpedia.org/resource/Robert_Gordon_Wasson	http://www.idref.fr/030052041
M. Robert Gordon Wasson	Wasson, Robert Gordon (1898-1986)	http://data.bnf.fr/ark:/12148/cb12154664h#foaf:Person	http://dbpedia.org/resource/Robert_Gordon_Wasson	http://www.idref.fr/030052041
Pego Borrewell	Wilkes, John (1727-1797)	http://data.bnf.fr/ark:/12148/cb10695639z#foaf:Person	http://dbpedia.org/resource/John_Wilkes	http://www.idref.fr/079158773
John Wilkes	Wilkes, John (1727-1797)	http://data.bnf.fr/ark:/12148/cb10695639z#foaf:Person	http://dbpedia.org/resource/John_Wilkes	http://www.idref.fr/079158773
Wilkes	Wilkes, John (1727-1797)	http://data.bnf.fr/ark:/12148/cb10695639z#foaf:Person	http://dbpedia.org/resource/John_Wilkes	http://www.idref.fr/079158773
J Wilkes	Wilkes, John (1727-1797)	http://data.bnf.fr/ark:/12148/cb10695639z#foaf:Person	http://dbpedia.org/resource/John_Wilkes	http://www.idref.fr/079158773
J. Wilkes	Wilkes, John (1727-1797)	http://data.bnf.fr/ark:/12148/cb10695639z#foaf:Person	http://dbpedia.org/resource/John_Wilkes	http://www.idref.fr/079158773
M Wilkes	Wilkes, John (1727-1797)	http://data.bnf.fr/ark:/12148/cb10695639z#foaf:Person	http://dbpedia.org/resource/John_Wilkes	http://www.idref.fr/079158773
M John Wilkes	Wilkes, John (1727-1797)	http://data.bnf.fr/ark:/12148/cb10695639z#foaf:Person	http://dbpedia.org/resource/John_Wilkes	http://www.idref.fr/079158773
M. Wilkes	Wilkes, John (1727-1797)	http://data.bnf.fr/ark:/12148/cb10695639z#foaf:Person	http://dbpedia.org/resource/John_Wilkes	http://www.idref.fr/079158773
M. John Wilkes	Wilkes, John (1727-1797)	http://data.bnf.fr/ark:/12148/cb10695639z#foaf:Person	http://dbpedia.org/resource/John_Wilkes	http://www.idref.fr/079158773
Charles Zanobi Rodolphe Walewski	Walewski, Charles (1848-1916)	http://data.bnf.fr/ark:/12148/cb16034180b#foaf:Person
Charles Walewski	Walewski, Charles (1848-1916)	http://data.bnf.fr/ark:/12148/cb16034180b#foaf:Person
Walewski	Walewski, Charles (1848-1916)	http://data.bnf.fr/ark:/12148/cb16034180b#foaf:Person
C Walewski	Walewski, Charles (1848-1916)	http://data.bnf.fr/ark:/12148/cb16034180b#foaf:Person
C. Walewski	Walewski, Charles (1848-1916)	http://data.bnf.fr/ark:/12148/cb16034180b#foaf:Person
M Walewski	Walewski, Charles (1848-1916)	http://data.bnf.fr/ark:/12148/cb16034180b#foaf:Person
M Charles Walewski	Walewski, Charles (1848-1916)	http://data.bnf.fr/ark:/12148/cb16034180b#foaf:Person
M. Walewski	Walewski, Charles (1848-1916)	http://data.bnf.fr/ark:/12148/cb16034180b#foaf:Person
M. Charles Walewski	Walewski, Charles (1848-1916)	http://data.bnf.fr/ark:/12148/cb16034180b#foaf:Person
Comte Colonna Walewski	Walewski, Charles (1848-1916)	http://data.bnf.fr/ark:/12148/cb16034180b#foaf:Person
Oscar-Amédée Watteville	Watteville du Grabe, Oscar Amédée de (1824-1901)	http://data.bnf.fr/ark:/12148/cb12574020b#foaf:Person	http://www.idref.fr/095038523
Oscar Amédée de Watteville du Grabe	Watteville du Grabe, Oscar Amédée de (1824-1901)	http://data.bnf.fr/ark:/12148/cb12574020b#foaf:Person	http://www.idref.fr/095038523
Watteville du Grabe	Watteville du Grabe, Oscar Amédée de (1824-1901)	http://data.bnf.fr/ark:/12148/cb12574020b#foaf:Person	http://www.idref.fr/095038523
de Watteville du Grabe	Watteville du Grabe, Oscar Amédée de (1824-1901)	http://data.bnf.fr/ark:/12148/cb12574020b#foaf:Person	http://www.idref.fr/095038523
De Watteville du Grabe	Watteville du Grabe, Oscar Amédée de (1824-1901)	http://data.bnf.fr/ark:/12148/cb12574020b#foaf:Person	http://www.idref.fr/095038523
O A Watteville du Grabe	Watteville du Grabe, Oscar Amédée de (1824-1901)	http://data.bnf.fr/ark:/12148/cb12574020b#foaf:Person	http://www.idref.fr/095038523
O. A. Watteville du Grabe	Watteville du Grabe, Oscar Amédée de (1824-1901)	http://data.bnf.fr/ark:/12148/cb12574020b#foaf:Person	http://www.idref.fr/095038523
O A de Watteville du Grabe	Watteville du Grabe, Oscar Amédée de (1824-1901)	http://data.bnf.fr/ark:/12148/cb12574020b#foaf:Person	http://www.idref.fr/095038523
O A De Watteville du Grabe	Watteville du Grabe, Oscar Amédée de (1824-1901)	http://data.bnf.fr/ark:/12148/cb12574020b#foaf:Person	http://www.idref.fr/095038523
O. A. De Watteville du Grabe	Watteville du Grabe, Oscar Amédée de (1824-1901)	http://data.bnf.fr/ark:/12148/cb12574020b#foaf:Person	http://www.idref.fr/095038523
O. A. de Watteville du Grabe	Watteville du Grabe, Oscar Amédée de (1824-1901)	http://data.bnf.fr/ark:/12148/cb12574020b#foaf:Person	http://www.idref.fr/095038523
M de Watteville du Grabe	Watteville du Grabe, Oscar Amédée de (1824-1901)	http://data.bnf.fr/ark:/12148/cb12574020b#foaf:Person	http://www.idref.fr/095038523
M Watteville du Grabe	Watteville du Grabe, Oscar Amédée de (1824-1901)	http://data.bnf.fr/ark:/12148/cb12574020b#foaf:Person	http://www.idref.fr/095038523
M Watteville du Grabe	Watteville du Grabe, Oscar Amédée de (1824-1901)	http://data.bnf.fr/ark:/12148/cb12574020b#foaf:Person	http://www.idref.fr/095038523
M Oscar Amédée de Watteville du Grabe	Watteville du Grabe, Oscar Amédée de (1824-1901)	http://data.bnf.fr/ark:/12148/cb12574020b#foaf:Person	http://www.idref.fr/095038523
M. Watteville du Grabe	Watteville du Grabe, Oscar Amédée de (1824-1901)	http://data.bnf.fr/ark:/12148/cb12574020b#foaf:Person	http://www.idref.fr/095038523
M. Oscar Amédée de Watteville du Grabe	Watteville du Grabe, Oscar Amédée de (1824-1901)	http://data.bnf.fr/ark:/12148/cb12574020b#foaf:Person	http://www.idref.fr/095038523
Oscar-Amédée de Watteville Du Grabe	Watteville du Grabe, Oscar Amédée de (1824-1901)	http://data.bnf.fr/ark:/12148/cb12574020b#foaf:Person	http://www.idref.fr/095038523
René Wachthausen	Wachthausen, René (1881-1945)	http://data.bnf.fr/ark:/12148/cb10459242j#foaf:Person
Wachthausen	Wachthausen, René (1881-1945)	http://data.bnf.fr/ark:/12148/cb10459242j#foaf:Person
R Wachthausen	Wachthausen, René (1881-1945)	http://data.bnf.fr/ark:/12148/cb10459242j#foaf:Person
R. Wachthausen	Wachthausen, René (1881-1945)	http://data.bnf.fr/ark:/12148/cb10459242j#foaf:Person
M Wachthausen	Wachthausen, René (1881-1945)	http://data.bnf.fr/ark:/12148/cb10459242j#foaf:Person
M René Wachthausen	Wachthausen, René (1881-1945)	http://data.bnf.fr/ark:/12148/cb10459242j#foaf:Person
M. Wachthausen	Wachthausen, René (1881-1945)	http://data.bnf.fr/ark:/12148/cb10459242j#foaf:Person
M. René Wachthausen	Wachthausen, René (1881-1945)	http://data.bnf.fr/ark:/12148/cb10459242j#foaf:Person
Harry Woods	Woods, Harry (1896-1970)	http://data.bnf.fr/ark:/12148/cb14839083d#foaf:Person
Woods	Woods, Harry (1896-1970)	http://data.bnf.fr/ark:/12148/cb14839083d#foaf:Person
H Woods	Woods, Harry (1896-1970)	http://data.bnf.fr/ark:/12148/cb14839083d#foaf:Person
H. Woods	Woods, Harry (1896-1970)	http://data.bnf.fr/ark:/12148/cb14839083d#foaf:Person
M Woods	Woods, Harry (1896-1970)	http://data.bnf.fr/ark:/12148/cb14839083d#foaf:Person
M Harry Woods	Woods, Harry (1896-1970)	http://data.bnf.fr/ark:/12148/cb14839083d#foaf:Person
M. Woods	Woods, Harry (1896-1970)	http://data.bnf.fr/ark:/12148/cb14839083d#foaf:Person
M. Harry Woods	Woods, Harry (1896-1970)	http://data.bnf.fr/ark:/12148/cb14839083d#foaf:Person
Edward Michael Whitty	Whitty, Edward Michael (1827-1860)	http://data.bnf.fr/ark:/12148/cb12574059c#foaf:Person	http://www.idref.fr/092980031
Whitty	Whitty, Edward Michael (1827-1860)	http://data.bnf.fr/ark:/12148/cb12574059c#foaf:Person	http://www.idref.fr/092980031
E M Whitty	Whitty, Edward Michael (1827-1860)	http://data.bnf.fr/ark:/12148/cb12574059c#foaf:Person	http://www.idref.fr/092980031
E. M. Whitty	Whitty, Edward Michael (1827-1860)	http://data.bnf.fr/ark:/12148/cb12574059c#foaf:Person	http://www.idref.fr/092980031
M Whitty	Whitty, Edward Michael (1827-1860)	http://data.bnf.fr/ark:/12148/cb12574059c#foaf:Person	http://www.idref.fr/092980031
M Edward Michael Whitty	Whitty, Edward Michael (1827-1860)	http://data.bnf.fr/ark:/12148/cb12574059c#foaf:Person	http://www.idref.fr/092980031
M. Whitty	Whitty, Edward Michael (1827-1860)	http://data.bnf.fr/ark:/12148/cb12574059c#foaf:Person	http://www.idref.fr/092980031
M. Edward Michael Whitty	Whitty, Edward Michael (1827-1860)	http://data.bnf.fr/ark:/12148/cb12574059c#foaf:Person	http://www.idref.fr/092980031
John de Wavrin	Wavrin, Jean de (1400-1474)	http://data.bnf.fr/ark:/12148/cb124353223#foaf:Person	http://www.idref.fr/033492050
Jean de Wavrin	Wavrin, Jean de (1400-1474)	http://data.bnf.fr/ark:/12148/cb124353223#foaf:Person	http://www.idref.fr/033492050
Wavrin	Wavrin, Jean de (1400-1474)	http://data.bnf.fr/ark:/12148/cb124353223#foaf:Person	http://www.idref.fr/033492050
de Wavrin	Wavrin, Jean de (1400-1474)	http://data.bnf.fr/ark:/12148/cb124353223#foaf:Person	http://www.idref.fr/033492050
De Wavrin	Wavrin, Jean de (1400-1474)	http://data.bnf.fr/ark:/12148/cb124353223#foaf:Person	http://www.idref.fr/033492050
J Wavrin	Wavrin, Jean de (1400-1474)	http://data.bnf.fr/ark:/12148/cb124353223#foaf:Person	http://www.idref.fr/033492050
J. Wavrin	Wavrin, Jean de (1400-1474)	http://data.bnf.fr/ark:/12148/cb124353223#foaf:Person	http://www.idref.fr/033492050
J de Wavrin	Wavrin, Jean de (1400-1474)	http://data.bnf.fr/ark:/12148/cb124353223#foaf:Person	http://www.idref.fr/033492050
J De Wavrin	Wavrin, Jean de (1400-1474)	http://data.bnf.fr/ark:/12148/cb124353223#foaf:Person	http://www.idref.fr/033492050
J. De Wavrin	Wavrin, Jean de (1400-1474)	http://data.bnf.fr/ark:/12148/cb124353223#foaf:Person	http://www.idref.fr/033492050
J. de Wavrin	Wavrin, Jean de (1400-1474)	http://data.bnf.fr/ark:/12148/cb124353223#foaf:Person	http://www.idref.fr/033492050
